"","participant_id","endtime","conditions","starttime","p2.Demographics.answers","p2.Demographics.timestamp","p7.msi.answers","p7.msi.timestamp","p10.PlaylistCharacteristics.answers","p10.PlaylistCharacteristics.timestamp","p11.PlaylistCharacteristics.answers","p11.PlaylistCharacteristics.timestamp","p12.PlaylistCharacteristics.answers","p12.PlaylistCharacteristics.timestamp"
"16",207,"2019-01-11 15:42:22","[12,13,14]","2019-01-11 15:42:22","[0,""23"",3]","2019-01-11 15:42:58","[4,1,4,5,2,4,2,4,4,4,3,6,4,4,5,1,2,1]","2019-01-11 15:50:35","[3,1,4,3,2,1]","2019-01-11 15:54:02","[0,4,0,1,1,3]","2019-01-11 15:57:04","[1,4,1,3,3,1]","2019-01-11 15:59:19"
"17",179,"2019-01-10 13:10:45","[13,14,12]","2019-01-11 15:51:39","[0,""22"",4]","2019-01-11 15:51:50","[5,1,4,5,1,5,2,5,3,5,5,4,4,3,4,2,1,1]","2019-01-11 15:53:15","[1,3,1,0,1,4]","2019-01-11 16:00:42","[1,3,0,1,2,3]","2019-01-11 16:03:08","[1,3,1,2,2,2]","2019-01-11 16:05:38"
"18",208,"2019-01-11 18:34:58","[14,12,13]","2019-01-11 18:34:58","[0,""20"",6]","2019-01-11 18:35:19","[4,4,2,4,2,4,2,4,4,4,4,4,4,2,2,3,5,1]","2019-01-11 18:37:22","[3,1,2,3,3,1]","2019-01-11 18:42:23","[4,0,3,3,2,2]","2019-01-11 18:44:39","[3,2,3,3,3,1]","2019-01-11 18:47:00"
"19",209,"2019-01-11 20:09:20","[12,13,14]","2019-01-11 20:09:20","[1,""29"",2]","2019-01-11 20:09:42","[2,0,3,6,5,4,0,2,1,4,0,4,2,1,4,5,2,2]","2019-01-11 20:12:26","[3,3,3,4,4,0]","2019-01-11 20:18:26","[1,4,2,3,3,0]","2019-01-11 20:21:40","[2,3,3,3,3,1]","2019-01-11 20:25:41"
"20",210,"2019-01-12 03:56:46","[12,13,14]","2019-01-12 03:56:46","[1,""20"",6]","2019-01-12 03:57:06","[4,0,2,3,3,4,6,4,2,3,1,6,6,6,4,4,5,2]","2019-01-12 03:59:26","[2,2,2,4,3,0]","2019-01-12 04:07:16","[2,1,2,1,0,3]","2019-01-12 04:11:11","[0,4,0,1,2,3]","2019-01-12 04:14:25"
"21",212,"2019-01-13 17:12:39","[13,14,12]","2019-01-13 17:12:39","[1,""25"",3]","2019-01-13 17:13:03","[3,0,3,4,2,2,5,2,5,2,4,4,6,5,2,0,0,1]","2019-01-13 17:15:08","[2,3,1,1,3,1]","2019-01-13 17:20:20","[1,3,1,3,3,1]","2019-01-13 17:23:01","[3,1,3,3,3,1]","2019-01-13 17:25:45"
"22",214,"2019-01-14 09:44:09","[13,14,12]","2019-01-14 09:44:09","[1,""37"",2]","2019-01-14 09:44:30","[4,2,4,4,5,4,2,4,1,4,1,5,3,4,4,4,1,1]","2019-01-14 09:46:44","[1,3,1,2,1,2]","2019-01-14 09:50:50","[0,4,0,1,1,3]","2019-01-14 09:53:49","[3,1,3,2,2,1]","2019-01-14 09:56:19"
"23",213,"2019-01-14 09:35:26","[12,14,13]","2019-01-14 09:35:26","[1,""23"",2]","2019-01-14 09:35:39","[3,2,1,5,4,4,1,4,2,3,1,3,2,1,2,6,4,2]","2019-01-14 09:37:09","[3,1,3,1,3,1]","2019-01-14 09:49:16","[1,3,1,1,1,3]","2019-01-14 10:04:43","[1,2,1,0,1,3]","2019-01-14 10:06:44"
"24",215,"2019-01-14 11:07:43","[14,12,13]","2019-01-14 11:07:43","[0,""22"",2]","2019-01-14 11:08:02","[3,1,3,4,3,4,5,4,5,2,3,3,5,5,3,3,2,1]","2019-01-14 11:10:27","[2,3,1,2,3,1]","2019-01-14 11:15:50","[4,1,3,3,3,1]","2019-01-14 11:18:58","[3,1,3,3,3,1]","2019-01-14 11:22:55"
"25",217,"2019-01-14 12:30:23","[12,14,13]","2019-01-14 12:30:23","[0,""20"",6]","2019-01-14 12:30:41","[5,4,5,4,2,4,5,5,5,4,5,5,1,4,3,1,5,1]","2019-01-14 12:32:09","[4,0,4,2,1,1]","2019-01-14 12:34:40","[2,1,1,3,2,1]","2019-01-14 12:37:52","[4,0,4,2,1,1]","2019-01-14 12:40:07"
