,title,artist,track_uri,year,pos1999,pos2000,pos2001,pos2002,pos2003,pos2004,pos2005,pos2006,pos2007,pos2008,pos2009,pos2010,pos2011,pos2012,pos2013,pos2014,pos2015,pos2016,pos2017,pos2018,acousticness,danceability,duration_ms,energy,instrumentalness,loudness,speechiness,valence
427,Avond,Boudewijn De Groot,3n3F07lHLyRKwqg4q64eYA,1997,428,121,41,25,8,5,1,2,2,3,3,3,4,5,5,5,7,6,9,10,0.617,0.456,274293,0.37,0.000939,-15.24,0.0405,0.186
428,Love Is A Battlefield,Pat Benatar,0viZ7D81W8pD65TkzaFkXT,1984,429,392,853,871,951,893,1071,1227,1240,1060,1111,1035,962,1118,1182,908,1068,1125,1067,990,0.0153,0.683,247027,0.637,0.0275,-11.906,0.049,0.884
429,Mississippi,Pussycat,3tP0kdmWRSqmJAt4nR3ykw,1975,430,555,929,794,702,832,655,626,696,660,0,1005,1266,1633,1595,1610,1691,1796,0,0,0.24,0.605,273800,0.731,0.000459,-9.327,0.0358,0.638
430,Hold The Line,Toto,4aVuWgvD0X63hcOCnZtNFA,1979,431,338,331,578,381,471,530,554,629,515,589,666,653,479,447,452,459,420,440,303,0.00783,0.473,235547,0.898,0.0618,-4.797,0.0561,0.808
431,Romeo And Juliet,Dire Straits,0PNt5WTw092eED0ru9SuIp,1980,432,0,0,269,203,331,295,316,320,302,358,326,314,306,276,353,340,368,393,372,0.546,0.613,360667,0.441,0.0132,-11.999,0.0309,0.525
432,Zonder Jou,Paul de Leeuw & Simone Kleinsma,7dIuHfrJskIy7ynwRkptkb,1995,433,0,549,818,824,509,565,297,293,402,222,395,444,542,464,483,614,692,639,548,0.844,0.424,236373,0.421,0.0,-10.252,0.0368,0.249
433,How Can We Hang On To A Dream,Tim Hardin,1wed13CuglKBkOnVFFzI1D,1967,434,570,521,478,632,564,685,690,737,633,948,859,864,1274,1098,1253,1422,1574,1484,1972,0.827,0.563,123240,0.175,0.0,-15.478,0.0404,0.365
434,Holding Back The Years,Simply Red,1yg7fwwYmx9DQ2TdXUmfpJ,1985,435,465,569,661,319,408,379,454,633,446,378,363,357,451,478,404,451,449,503,538,0.58,0.707,269840,0.514,0.000159,-8.885,0.0281,0.524
435,Storm And Thunder,Earth & Fire,7uzbAYvAnH49ld7ZH96jo2,1971,436,408,394,284,291,450,462,575,820,510,608,695,818,946,906,886,1035,1111,1095,1112,0.0497,0.268,385627,0.289,0.0181,-12.871,0.0366,0.0573
436,In The Dutch Mountains,Nits,7JLjdk1PX5LMBxM5zfYCQV,1987,437,363,390,636,250,483,486,458,697,477,408,316,493,494,588,524,711,723,675,707,0.551,0.42,206413,0.504,5.46e-05,-11.445,0.033,0.27
437,The Load Out / Stay,Jackson Browne,0Bk7XD1UQoqI0M8cTgmkNf,1977,438,177,114,80,100,109,95,91,74,88,80,95,108,128,131,95,104,139,150,231,0.739,0.516,335257,0.319,0.000983,-11.709,0.0343,0.305
438,Heaven Must Be Missing An Angel,Tavares,7qQzkUWsbvoTDbNpW3FHQu,1976,439,569,455,567,467,525,521,511,599,523,457,402,599,565,580,461,590,832,719,992,0.0266,0.605,389760,0.881,3.28e-06,-4.891,0.0462,0.965
439,Ruby Tuesday,Rolling Stones,2xsUjOb8OK6nTMvpgBhz32,1967,440,335,480,446,375,492,561,525,789,544,609,546,841,838,737,835,919,1004,873,1128,0.659,0.359,227747,0.875,1.19e-05,-5.184,0.0474,0.526
440,San Francisco (Be Sure To Wear Some Flowers In Your Hair),Scott McKenzie,77qBwefBIdzymXNCuAI8YX,1967,441,641,1096,611,402,640,661,599,576,574,832,874,944,604,880,948,1022,1180,1181,1488,0.047,0.495,178933,0.67,2.52e-05,-5.918,0.0284,0.478
441,Norwegian Wood,Beatles,1H7gMYGykdtwZOV6s1N0by,1965,442,255,402,288,328,328,340,303,261,283,260,306,286,499,430,445,469,603,652,884,0.183,0.425,124693,0.369,0.00126,-11.876,0.0379,0.65
442,The Boys Of Summer,Don Henley,4gvea7UlDkAvsJBPZAd4oB,1985,443,409,543,338,359,359,438,470,562,429,516,597,509,661,456,485,508,500,557,580,0.501,0.516,288733,0.549,0.00572,-13.741,0.0373,0.907
443,Hijo De La Luna,Mecano,1HnAG3hNXZzxvzVyw1U8Yy,1990,444,628,774,749,593,1018,987,932,954,859,997,1111,1088,1169,1201,1399,1485,1799,1704,1751,0.677,0.449,265733,0.535,8.25e-06,-7.209,0.0338,0.607
444,Maria,West Side Story/Leonard Bernstein,4PhC8QIdq2LcGm6KpXFaVi,1961,445,0,1164,1628,1038,1282,1479,1493,1644,1428,1877,1952,1577,0,0,0,0,0,0,0,0.788,0.159,155933,0.162,5.14e-05,-12.618,0.0358,0.195
445,Streets Of London,Ralph McTell,0P49pJa288tm8gKbFcofn9,1972,446,599,855,928,803,1313,766,799,915,842,958,932,1059,995,876,923,860,1113,1149,1467,0.625,0.396,248587,0.295,7.6e-05,-15.126,0.0343,0.187
446,Love Is All,Roger Glover & Guests,6hZQD7nKE0wTDBYZiXBPUg,1975,447,561,505,407,481,813,829,662,891,683,961,646,1057,854,850,964,1048,1537,1499,1238,0.429,0.561,187533,0.523,0.0,-9.85,0.0296,0.824
447,To Make My Life Beautiful,Alex Harvey,0,1972,448,359,305,268,453,472,446,617,385,440,1117,858,1285,1720,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
448,The Eve Of The War,Jeff Wayne,21ScRnJyZCD7sioWBAzGML,1978,449,653,641,628,710,1088,1075,1244,1287,1048,1065,878,1172,640,646,729,990,1244,1379,1049,0.14,0.479,547467,0.778,0.0365,-5.922,0.0765,0.446
449,You've Got A Friend,Carole King,1qhp5owrFGeZ5Jgin28nwR,1971,450,582,444,505,487,367,536,456,454,438,550,484,608,702,734,638,742,674,795,903,0.88,0.474,308973,0.263,4.45e-05,-10.684,0.0336,0.458
450,Anne,Herman Van Veen,7orAuVnsGVZhD6BZ7LcWGl,1986,451,522,499,544,577,429,362,340,309,358,420,426,457,588,669,713,754,762,812,1043,0.671,0.668,227640,0.078,0.203,-27.268,0.0418,0.284
451,Spicks And Specks,Bee Gees,3VDc5gm14mRYDUANXeLW5Y,1967,452,494,359,414,430,401,537,552,505,481,644,628,789,964,1209,1214,1240,966,1327,1414,0.777,0.65,171533,0.634,0.000205,-7.355,0.0326,0.713
452,Tears In The Morning,Beach Boys,0iz2Pm0bYYrHcuFletpNPT,1970,453,470,406,508,448,578,607,789,775,629,632,618,768,1433,1048,997,1334,1184,1101,1749,0.714,0.377,251333,0.358,2.58e-05,-11.487,0.0372,0.242
453,The Reflex,Duran Duran,0OsWMTxDjtpmJjX43113oq,1984,454,622,714,545,624,720,976,1085,1104,883,1441,1325,1353,1394,1154,1364,1316,1239,990,1331,0.123,0.556,266933,0.9,0.0,-6.11,0.097,0.804
454,In The Mood,Glenn Miller,6dZKWYSx5YBIme4SfpIHJ0,1940,455,1034,1874,1018,600,1393,1284,846,1299,1013,1658,1807,1705,1893,1929,0,0,0,0,0,0.854,0.645,211587,0.398,0.306,-12.208,0.11,0.705
455,So Lonely,Police,2wnsBaxrmkthIFAm6vqCuX,1979,456,661,575,461,692,686,687,852,736,698,673,713,852,732,691,807,819,695,726,758,0.0123,0.541,289587,0.571,1.55e-06,-8.308,0.16,0.73
456,25 Or 6 To 4,Chicago,7GqIDx2QVGOpd4r1fZaUUW,1970,457,433,382,394,439,566,729,684,745,618,804,800,935,889,960,1071,1056,1210,971,1418,0.309,0.604,289800,0.905,0.0632,-7.059,0.0578,0.723
457,Follow You Follow Me,Genesis,0HdcunWW5FsRqKr3lwJOIo,1978,458,324,280,242,204,291,343,424,487,347,346,324,430,456,429,372,563,654,645,920,0.146,0.531,240991,0.747,0.0722,-9.368,0.0344,0.761
458,Suzie Q (part 1),Creedence Clearwater Revival,6Jp0GuFxAYbTdre1uUPgaB,1968,459,0,307,337,276,186,258,294,319,263,325,313,408,528,524,741,746,709,720,799,0.0601,0.435,517160,0.618,0.00282,-11.391,0.0324,0.695
459,A Different Corner,George Michael,6khoye7kysa6cLGY0AO9dO,1986,460,813,605,717,1002,873,1064,826,1222,931,1330,1265,1216,658,1045,1007,1243,1354,564,670,0.857,0.266,243533,0.287,0.00898,-10.34,0.0333,0.15
460,Night Fever,Bee Gees,3mRM4NM8iO7UBqrSigCQFH,1978,461,353,241,539,740,618,880,861,799,718,1136,1150,1138,1011,1310,1619,1348,1108,1231,1287,0.0322,0.703,285373,0.826,0.00629,-7.179,0.0341,0.945
461,Dodenrit,Drs. P,37zbUKK0HY17oW3Lbd4nYw,1974,462,282,415,365,645,446,573,520,510,503,783,877,905,999,948,1160,889,1081,1117,1184,0.367,0.542,310733,0.858,0.0,-7.917,0.124,0.887
462,S.O.S.,ABBA,24f1hOHOE5vmqFzBItusSn,1975,463,640,530,731,728,940,942,1175,1098,949,1082,1053,1206,1377,1570,1665,1725,1727,1617,1277,0.00593,0.612,408400,0.63,0.539,-7.51,0.043,0.729
463,Tombe La Neige,Adamo,3d7EDEz4PLcXP9pufWVu6Y,1964,464,531,347,506,496,493,387,427,226,355,795,635,895,1475,1743,1839,0,0,0,0,0.837,0.324,182520,0.331,3.57e-05,-8.837,0.0328,0.288
464,True Colors,Cyndi Lauper,2A6yzRGMgSQCUapR2ptm6A,1986,465,890,1100,858,1460,811,1083,927,998,964,1026,912,628,969,826,1114,1173,834,1009,1033,0.701,0.397,227600,0.207,3.07e-05,-13.155,0.0331,0.268
465,I Believe I Can Fly,R. Kelly,2RzJwBCXsS1VnjDm2jKKAa,1997,466,0,888,1152,1286,1264,1640,1588,0,1772,0,0,1904,1772,0,1789,0,0,0,0,0.241,0.55,320667,0.444,0.0,-7.588,0.0292,0.0438
466,Zwart-Wit,Frank Boeijen,34OjTz1ttUEq2iLGxjJ5s9,1984,467,602,744,907,848,712,952,949,1055,886,995,1227,1150,1191,1025,1000,856,979,1069,881,0.0283,0.545,185827,0.63,1.19e-05,-11.968,0.0328,0.79
467,Sylvia's Mother,Dr Hook & The Medicine Show,4hLk7Bjz1XJWNDiqovvgBW,1972,468,642,360,499,510,366,526,555,558,499,734,670,705,1217,1178,1306,1442,1332,1471,1719,0.691,0.304,228333,0.469,0.0,-12.71,0.0501,0.576
468,Big Log,Robert Plant,7257drAN3eTtaaUUPw95B3,1983,469,486,490,615,648,835,1097,1192,1142,939,1042,1189,1021,1012,924,909,1064,1140,1230,1425,0.359,0.554,304800,0.639,0.00274,-7.163,0.0278,0.644
469,Honky Tonk Women,Rolling Stones,3RZMzCvYsmJ0u2ioKTOsmJ,1969,470,571,554,362,369,488,560,558,695,532,678,704,649,796,831,856,1109,1298,1100,1249,0.363,0.562,179387,0.779,0.0292,-6.705,0.0592,0.967
470,We All Stand Together,Paul McCartney & Frog Chorus,3GcriCXRnjAUFm5hrPpT1L,1985,471,0,759,1041,1287,1054,1052,1118,1363,1167,1212,1190,1229,992,1064,976,849,1198,1145,1620,0.707,0.288,265947,0.279,0.438,-12.022,0.0285,0.5
471,Sweet Dreams (Are Made Of This),Eurythmics,1TfqLAPs4K3s2rJMoCokcS,1983,472,457,924,600,853,544,582,674,802,654,728,655,474,666,507,708,666,685,567,339,0.225,0.692,216933,0.711,0.0,-7.498,0.0317,0.875
472,Miss You Nights,Cliff Richard,5oLfyNezPv2IZdAFC9cYsh,1976,473,513,482,834,980,778,887,1064,899,874,1148,1282,1515,0,0,0,0,0,0,0,0.697,0.284,235573,0.25,1.5e-05,-12.217,0.0328,0.217
473,Theme From 'New York New York',Frank Sinatra,4ODWgs1CVAZKDbryEodjiz,1980,474,998,1054,1100,1015,1040,951,1050,1216,1067,1215,1166,1078,1426,1258,1478,1332,1404,1500,1186,0.547,0.407,204147,0.589,0.0,-5.32,0.03,0.559
474,(Something Inside) So Strong,Labi Siffre,2z8PSS00q39tUuVjYfTO67,1987,475,583,424,626,836,673,734,668,776,684,855,846,878,428,922,815,861,1164,1424,1399,0.418,0.682,337493,0.375,5.75e-06,-10.308,0.0347,0.226
475,Rosanna,Toto,37BTh5g05cxBIRYMbw8g2T,1982,476,492,336,424,444,501,484,550,682,528,807,818,779,851,695,794,787,779,790,511,0.0208,0.365,331200,0.513,0.000147,-13.034,0.0357,0.739
476,Here Comes The Sun,Beatles,6dGnYIeXmHdcikdzNNDMm2,1969,477,383,523,258,275,242,251,185,161,195,154,100,105,143,104,121,107,104,105,103,0.0339,0.557,185733,0.54,0.00248,-10.484,0.0347,0.394
477,Atlantis,Donovan,0kcEK7YuNNfE7jiTnXS1cm,1969,478,585,591,676,896,690,757,822,1046,801,1186,1295,1343,1420,1567,1894,0,1981,1949,0,0.177,0.326,302640,0.313,0.000569,-16.17,0.0348,0.344
478,I Don't Like Mondays,Boomtown Rats,7JFoeg0arawADjGcz9gBnq,1979,479,437,584,644,770,646,746,710,759,685,1476,1338,1440,1707,1342,1846,1907,1788,1926,0,0.717,0.464,259093,0.46,0.0,-6.874,0.0393,0.476
479,Red Red Wine,UB40,4uOKFydzAejjSFqYbv1XPt,1983,480,427,660,471,586,373,562,541,691,535,691,629,744,912,665,699,743,684,664,601,0.00414,0.857,183733,0.468,1.32e-05,-8.53,0.0476,0.843
480,She's Leaving Home,Beatles,3PjMtNzwhDHqxoKudm6GvF,1967,481,0,506,511,578,668,650,522,470,549,602,660,862,1094,935,1014,1136,1457,1136,1569,0.944,0.381,215160,0.214,0.0,-11.629,0.0337,0.393
481,Banger Hart,Rob de Nijs,7CWMTbMO7FPNqWWLfSpjCO,1996,482,368,265,401,386,432,407,436,526,426,711,895,870,967,1122,1129,1347,1403,1506,1453,0.472,0.752,274600,0.754,0.0,-8.941,0.0372,0.833
482,Peggy Sue,Buddy Holly,2OARIMw1hpehr86Iwmv04c,1957,483,489,651,454,307,524,488,505,457,450,1046,960,1155,1441,1507,1977,0,1908,1850,0,0.947,0.676,150960,0.424,0.000494,-8.132,0.0329,0.493
483,My Boy,Elvis Presley,4baNC6PNq37xOVRqoZcNY5,1975,484,541,472,428,367,487,275,390,455,393,401,476,603,535,601,617,637,711,631,651,0.586,0.387,198853,0.534,0.00084,-11.809,0.0331,0.372
484,Like A Virgin,Madonna,1ZPlNanZsJSPK5h9YZZFbZ,1984,485,961,1165,1417,1281,1208,1351,1511,0,1719,1830,1829,0,0,0,0,0,0,0,1981,0.202,0.773,218627,0.656,0.00323,-10.88,0.0381,0.971
485,Roof Garden,Al Jarreau,1CpDrx0Q7f2Wv3tBXDMt6z,1982,486,455,395,384,641,613,621,740,390,539,1104,801,996,1346,1486,1440,1771,1572,1246,0,0.147,0.749,380267,0.475,0.0,-13.875,0.0737,0.866
486,Hero,Mariah Carey,4FCb4CUbFCMNRkI6lYc1zI,1993,487,0,1496,1567,1875,1548,1859,0,0,0,0,0,0,0,0,0,0,0,0,0,0.735,0.501,257733,0.378,0.0,-9.37,0.029,0.178
487,Kingston Town,UB40,1YnVYHXoak0syv4xBRHQRb,1990,488,574,664,725,622,606,579,696,673,627,837,744,772,1038,773,902,836,929,933,813,0.119,0.957,231733,0.226,0.0358,-14.606,0.0594,0.768
488,Rain And Tears,Aphrodite's Child,3gE5067onHssnwibln70ef,1968,489,278,253,264,399,290,337,428,280,333,700,466,743,1242,1655,0,0,0,0,0,0.159,0.306,191493,0.426,0.0,-10.943,0.0297,0.326
489,I Just Can't Help Believin',Elvis Presley,2ORfTT4oHGpkOrLAXE7kUR,1972,490,538,616,516,303,478,321,411,426,396,466,510,645,688,821,795,822,923,1003,883,0.531,0.469,280040,0.313,0.0,-14.196,0.0401,0.267
490,Terug Naar De Kust,Maggie MacNeal,6FPOFblnPfyaav5LOx81xd,1976,491,471,629,739,650,569,549,592,584,576,687,753,1010,960,1139,986,959,1278,1341,1759,0.818,0.491,266128,0.453,0.000202,-8.617,0.0318,0.399
491,Is She Really Going Out With Him? (Live),Joe Jackson,3Hf0AfuQSZFNUEQXtTELCs,1979,492,351,407,391,191,285,398,324,514,345,391,366,487,474,468,439,505,553,588,518,0.911,0.559,269493,0.419,4.74e-05,-8.463,0.0736,0.454
492,Circle Of Life,Elton John,5vKkaZHPzuqQheytfKuXzp,1994,493,0,0,925,639,736,998,819,1031,862,1115,1049,961,895,842,1005,951,1023,798,684,0.264,0.3,291600,0.387,0.215,-15.321,0.0331,0.137
493,Lady Jane,Rolling Stones,19kAUW6NMzgDHKT19s7782,1966,494,592,681,571,714,641,644,636,873,667,896,739,973,978,1105,1349,1377,1438,1884,1502,0.516,0.6,188080,0.303,0.000123,-16.408,0.0318,0.31
494,Smalltown Boy,Bronski Beat,5vmRQ3zELMLUQPo2FLQ76x,1984,495,420,568,441,611,666,946,945,824,753,1192,1057,1140,1269,1027,1081,1156,1093,1008,1023,0.288,0.685,302413,0.584,0.00918,-10.616,0.0276,0.939
495,The Way It Is,Bruce Hornsby & The Range,6V50MyHPGhEmwYu0Wdyf0t,1986,496,738,1073,715,667,868,945,1159,997,926,1508,1398,1371,1246,1293,981,1195,1524,1438,1394,0.607,0.582,297853,0.689,0.0571,-12.203,0.0277,0.531
496,Torn,Natalie Imbruglia,3APayTEWiUl9Ssep4BOXR2,1997,497,581,1273,919,1012,1093,1136,1518,0,1598,0,0,2000,1249,1496,1667,1520,1990,1903,1712,0.0746,0.559,244813,0.928,5.56e-05,-3.04,0.0355,0.599
497,Het Is Een Nacht (Levensecht),Guus Meeuwis & Vagant,1jnUXW29r0JgYRcQmC3gIp,1995,498,670,545,849,657,476,248,334,409,388,415,481,366,434,489,620,507,774,996,708,0.541,0.631,225040,0.623,5.3e-06,-7.013,0.0297,0.495
498,Mrs. Robinson,Simon & Garfunkel,0iOZM63lendWRTTeKhZBSC,1968,499,529,433,519,539,514,553,573,790,591,635,514,478,618,518,642,641,575,659,524,0.713,0.606,244027,0.457,2.53e-05,-14.035,0.0497,0.813
499,Waiting For The Sun,Doors,6KVM6U9Wcxgjh0jDjoRDgh,1971,500,0,767,0,0,0,0,0,0,0,1217,1176,1215,1259,996,1370,1770,1820,1989,1936,0.0836,0.554,238627,0.512,0.000332,-7.6,0.0237,0.236
500,La Isla Bonita,Madonna,2Iib2MV3ECFJAourgP9dlY,1987,501,632,779,827,966,1234,1151,1497,1656,1281,1385,1507,1502,1325,1510,1391,1461,1693,1659,1590,0.392,0.708,242947,0.832,1.33e-06,-4.736,0.0362,0.968
501,A Hard Day's Night,Beatles,5J2CHimS7dWYMImCHkEFaJ,1964,502,875,965,1028,931,824,893,890,857,848,936,922,941,648,1161,1524,1626,1368,1593,1553,0.137,0.59,154200,0.805,0.0,-6.481,0.0371,0.797
502,Easy Lover,Phil Collins & Philip Bailey,7INi4pMPG4IE0Smx5y4KVf,1985,503,627,679,660,654,716,994,1110,1371,943,1336,1381,1509,991,1214,1243,1278,1508,1663,887,0.0674,0.749,304507,0.699,0.00192,-13.108,0.0371,0.935
503,Ramona,Blue Diamonds,2Xt3YSFvqe5AzRbVrETVbv,1960,504,598,1036,948,460,752,707,833,747,703,1506,1394,1555,1517,0,0,0,0,0,0,0.152,0.493,147924,0.603,9.23e-05,-9.824,0.0411,0.657
504,I Heard It Through The Grapevine,Creedence Clearwater Revival,5qhbJhRw3Q5s41Jt6JmFw0,1973,505,261,269,434,606,416,466,535,467,467,463,421,496,682,547,697,751,902,887,972,0.103,0.916,233067,0.627,0.00392,-8.045,0.0406,0.745
505,Fool To Cry,Rolling Stones,3T8dfE0azJUmXJA3QlmiZ5,1976,506,723,574,548,613,611,694,715,1062,716,847,871,874,676,794,854,1019,925,946,1074,0.892,0.444,305400,0.454,0.0546,-7.434,0.0419,0.236
506,Crazy,Seal,6Vz7vzOpCwKeSQlfViibuY,1991,507,0,968,512,501,784,903,977,1141,856,934,942,969,1064,868,812,821,915,938,1353,0.208,0.633,356520,0.858,0.0114,-7.42,0.0473,0.725
507,Ben Ik Te Min,Armand,5s6yU2Gfs9oCTxiX2LNbHC,1967,508,402,540,457,442,307,382,508,382,404,893,676,796,715,1022,1279,90,706,904,1411,0.275,0.622,207707,0.694,1.1e-05,-7.069,0.0336,0.561
508,You're The Voice,John Farnham,5NwkWwfRJaT55hEPtCmJHx,1987,509,662,838,649,729,781,692,689,881,726,938,1076,1000,748,726,895,800,994,880,1145,0.22,0.369,302107,0.762,2.8e-05,-8.993,0.0464,0.644
509,Helpless,"Crosby, Stills, Nash & Young",3gQMqeXqiHFCafaTtFnHF8,1970,510,1027,0,1010,712,765,849,881,1016,865,1029,992,1069,1260,1382,1765,0,1968,0,0,0.86,0.538,217133,0.258,0.00599,-13.603,0.0309,0.376
510,Shout,Tears For Fears,2gQaQUhDCNGfBVXTvxAmXQ,1985,511,468,577,623,927,905,1199,993,1147,966,1140,1034,967,1013,1032,1036,1087,1058,897,1014,0.174,0.511,393667,0.942,1.87e-05,-10.407,0.0429,0.498
511,Come On Eileen,Dexy's Midnight Runners,3MrWxJaD2AT0W9DjWF64Vm,1982,512,648,471,543,772,609,900,1046,902,803,1027,1106,1147,974,772,921,916,855,944,742,0.664,0.45,287307,0.656,3.02e-06,-7.049,0.0472,0.782
512,This Is The Moment,Rene Froger,4fuJQYyxUQiHpJAz2dn11L,1992,513,0,1214,1142,902,1067,1286,1506,1548,1316,1911,1514,1939,0,0,0,0,0,0,0,0.491,0.339,223467,0.497,0.0,-11.712,0.0365,0.341
513,Ziggy Stardust,David Bowie,5IyL3XOaRPpTgxVjRIAxXU,1972,514,0,0,469,521,522,819,811,828,715,591,745,720,850,639,573,781,462,743,1005,0.048,0.44,194440,0.565,0.0,-11.657,0.121,0.495
514,Calypso,John Denver,2eD5bmknmcojiCxoKpvVTI,1975,515,461,823,758,679,810,699,676,640,657,805,766,826,812,1033,1192,1220,1167,1263,1217,0.82,0.219,216173,0.43,4.39e-05,-9.202,0.0309,0.495
515,El Condor Pasa (If I Could),Simon & Garfunkel,1eN42Q7IWRzRBq8eW2Y2TE,1970,516,464,342,706,674,657,623,559,868,632,676,578,615,671,865,927,938,869,1012,876,0.836,0.33,187040,0.214,0.0701,-17.699,0.0311,0.275
516,Quit Playing Games,Backstreet Boys,0Uqs7ilt5kGX9NzFDWTBrP,1996,517,454,1242,0,1655,1414,1227,1826,1785,1609,0,0,0,0,0,0,0,0,0,0,0.0559,0.8,232667,0.825,2.18e-06,-6.552,0.034,0.903
517,Laat Me Alleen,Rita Hovink,1Z3Ns97nNVgXWGsgwOOQKG,1977,518,754,960,911,976,713,270,620,705,599,634,883,989,1010,1272,1395,1523,0,0,0,0.693,0.523,281800,0.248,0.0,-14.446,0.033,0.466
518,We Don't Talk Anymore,Cliff Richard,3Ug96zKa29P3vICEEcYajZ,1979,519,872,753,1629,0,1851,1913,1966,1912,1805,0,0,0,0,0,0,0,0,0,0,0.0014,0.746,257160,0.703,0.00414,-7.853,0.0291,0.733
519,The Last Time,Rolling Stones,7foiOmd1Je7Z0D3TaZCDro,1965,520,682,1284,549,786,794,1964,812,991,905,1108,1215,1398,1361,1359,1799,0,0,1990,1917,0.144,0.327,221493,0.92,0.84,-5.223,0.0611,0.439
520,Beast Of Burden,Bette Midler,6TgqY8Vfm4StBe8hsxi3Ti,1984,521,459,346,595,751,547,571,782,756,650,899,825,1024,1280,1296,1105,1509,1341,1410,1837,0.00727,0.577,225867,0.788,1.27e-05,-6.813,0.0309,0.914
521,Could You Be Loved,Bob Marley & The Wailers,5O4erNlJ74PIF6kGol1ZrC,1980,522,735,557,709,1011,587,753,897,809,763,721,422,557,439,608,846,932,922,958,899,0.36,0.916,237000,0.72,0.00016,-8.548,0.1,0.76
522,The Power Of Love,Celine Dion,5kK1Iru9ogP3Iy1zsANU1n,1994,523,0,644,812,1006,786,814,893,761,802,1344,1208,1393,612,1705,1791,1814,0,0,0,0.36,0.546,342400,0.519,0.00046,-9.072,0.0291,0.247
523,Ik Voel Me Zo Verdomd Alleen,Danny de Munk,0q9r5fHCLETKiJPbGQE6Gy,1984,524,752,999,1372,1512,970,1553,1847,1025,1311,1251,1840,1920,0,0,0,0,0,0,0,0.23,0.477,207027,0.452,0.0,-5.445,0.0275,0.262
524,Whatever You Want,Status Quo,2kUzt5LsTUR0ggquP7O3eN,1979,525,397,298,286,479,425,383,500,561,449,540,603,669,651,636,629,680,667,711,663,0.772,0.56,243547,0.705,0.00259,-6.761,0.0498,0.501
525,Nathalie,Gilbert Becaud,1ul9ZfkWWeAjA3HiRwK4Op,1964,526,1113,908,632,573,727,572,509,482,548,930,855,797,827,981,1263,1188,1335,1439,1735,0.749,0.422,245213,0.632,1.25e-06,-7.121,0.0779,0.81
526,She Loves You,Beatles,6nEkxYIEnrbYH7h1hJ8Xn6,1963,527,1145,1489,1431,1231,1114,1526,1369,1328,1323,1474,1757,1964,1530,1586,0,0,0,0,0,0.26,0.377,140920,0.916,0.0,-3.199,0.0481,0.912
527,Beautiful People,Melanie,4rMCvdNWp9IvvDJYyUfxyl,1969,528,508,624,438,548,574,485,545,648,554,603,585,706,654,674,982,1072,1163,1416,1155,0.608,0.539,215133,0.444,0.0,-9.392,0.0529,0.373
528,De Glimlach Van Een Kind,Willy Alberti,0MGZGTjmBQGPuu0zFHQgkM,1968,529,950,979,1266,1195,921,1114,1158,1360,1145,1581,1665,1682,1610,1681,1927,1892,0,0,0,0.758,0.545,160000,0.492,0.00078,-8.351,0.0303,0.536
529,Fields Of Gold,Sting,0I1DJdLt9BKOb7GWmWxCjo,1993,530,451,379,283,265,303,349,276,266,273,353,278,227,198,127,157,176,161,183,188,0.372,0.651,222120,0.339,0.0141,-11.917,0.0246,0.32
530,"You're The First, The Last, My Everything",Barry White,3ZYO0HGRFFdAGeb8o7F9KC,1974,531,664,317,399,380,266,262,345,233,277,446,391,403,617,570,456,518,551,537,781,0.00204,0.631,212907,0.713,0.000344,-7.124,0.0311,0.891
531,Non Non Rien N'A Changé,Poppys,1fxoAloBlcKe3t49QwIL4m,1971,532,407,418,485,582,477,403,446,645,490,571,667,634,686,697,781,795,984,1176,1149,0.481,0.503,189667,0.482,0.0,-7.685,0.0879,0.466
532,Passie,Clouseau,34oyuLfWrmAPXENXDa9kvX,1995,533,594,694,947,1078,834,824,891,1023,896,1540,1441,1516,1870,1696,1968,1931,1905,0,0,0.178,0.627,302800,0.544,0.0,-8.499,0.0245,0.518
533,Bird Of Paradise,Snowy White,1JGW1e2tacnCgBPfRH0haY,1984,534,745,959,811,795,801,916,931,1133,903,969,1188,1210,857,1058,882,1261,1487,1429,1594,0.6,0.474,281467,0.443,0.607,-11.422,0.0365,0.313
534,'n Beetje Verliefd,André Hazes,24qn72RJBFmccZ1vzepR5u,1981,535,348,710,569,572,454,570,727,612,584,1269,1249,1298,458,1322,1624,1883,1787,1758,1199,0.0417,0.309,250147,0.57,0.0,-8.708,0.0332,0.22
535,Complainte Pour Ste. Catherine,Anna & Kate McGarrigle,4Y20xkfnxwdOqOYdZoV0Ym,1976,536,604,504,637,804,612,697,817,670,679,1427,1264,1418,1527,1862,1793,1550,0,0,0,0.742,0.677,171667,0.494,0.0,-8.921,0.0256,0.848
536,It's A Sin,Pet Shop Boys,6IDHh3FcwLVcG5NsmpQgg2,1987,537,611,845,762,1236,1241,1262,1618,1792,1387,1574,1678,1681,1794,1571,1415,1444,1303,1459,1871,0.252,0.538,299307,0.86,0.000527,-5.916,0.0435,0.291
537,Love On The Rocks,Neil Diamond,5nbo7FhmOoAQiKnpAcdhqL,1980,538,0,517,1064,964,1116,1221,969,1503,1130,1321,1234,1221,1237,1324,1252,1542,1527,1573,1361,0.814,0.302,217800,0.213,6.68e-06,-16.435,0.038,0.191
