,Unnamed: 0,title,artist,track_uri,year,pos1999,pos2000,pos2001,pos2002,pos2003,pos2004,pos2005,pos2006,pos2007,pos2008,pos2009,pos2010,pos2011,pos2012,pos2013,pos2014,pos2015,pos2016,pos2017,pos2018,acousticness,danceability,duration_ms,energy,instrumentalness,loudness,speechiness,valence,tempo,liveness,genre
28,28,Sympathy For The Devil,Rolling Stones,1hvkv6bfDK0liE4xz3cDwe,1973,29,34,44,28,14,26,38,45,59,38,43,43,46,50,35,37,46,60,51,49,0.0878,0.48100000000000004,461067,0.98,0.00235,-5.127000000000001,0.12300000000000001,0.28,110.01700000000001,0.9520000000000001,"['album rock', 'british invasion', 'classic rock', 'rock']"
29,29,Who Wants To Live Forever,Queen,3SGP8It5WDnCONyApJKRTJ,1986,30,23,34,22,45,50,74,74,120,62,77,87,94,134,100,100,99,86,107,74,0.544,0.182,295333,0.38799999999999996,0.00134,-8.672,0.0324,0.0392,139.276,0.114,"['classic rock', 'glam rock', 'rock']"
30,30,Everybody Hurts,R.E.M.,6PypGyiu0Y2lCDBN1XZEnP,1993,31,0,50,61,58,61,58,66,99,68,76,66,59,101,122,138,138,140,144,166,0.615,0.467,320267,0.324,0.0248,-10.450999999999999,0.0255,0.166,94.301,0.11800000000000001,"['alternative rock', 'classic rock', 'permanent wave', 'pop rock', 'rock']"
31,31,Over De Muur,Klein Orkest,5rAG0XusRfyLrzYV7A7lBL,1984,32,38,54,50,59,56,48,47,64,52,47,56,83,71,84,60,76,81,45,60,0.629,0.612,209493,0.321,1.05e-05,-15.231,0.0506,0.287,95.977,0.14400000000000002,"['dutch pop', 'dutch rock', 'nederpop']"
32,32,Paint It Black,Rolling Stones,63T7DJ1AFDD6Bn8VzG6JE8,1966,33,48,62,60,54,54,68,57,107,63,65,63,82,43,49,57,50,61,67,48,0.0493,0.46399999999999997,202267,0.795,0.00244,-9.267000000000001,0.0926,0.612,158.691,0.39899999999999997,"['album rock', 'british invasion', 'classic rock', 'rock']"
33,33,Africa,Toto,2374M0fQpWi3dLnB54qaLX,1982,34,49,33,39,52,63,70,75,110,66,100,97,87,62,28,51,42,30,25,8,0.257,0.6709999999999999,295893,0.373,8.01e-05,-18.064,0.0323,0.732,92.71799999999999,0.0481,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
34,34,The Winner Takes It All,ABBA,3oEkrIfXfSh9zGnE7eBzSV,1980,35,92,106,103,77,133,113,140,94,107,121,104,176,201,197,135,174,165,192,176,0.574,0.45399999999999996,294720,0.7879999999999999,0.000766,-6.747999999999999,0.0371,0.52,126.15,0.0859,"['europop', 'swedish pop']"
35,35,Het Dorp,Wim Sonneveld,60B0BFGuCb5w1aCYmxfwKs,1974,36,32,39,38,48,47,44,29,53,42,40,40,57,69,36,39,45,55,62,64,0.87,0.37200000000000005,194333,0.301,0.00324,-15.324000000000002,0.0417,0.413,114.075,0.0984,"['dutch cabaret', 'dutch rock', 'nederpop']"
36,36,Candle In The Wind '97,Elton John,3DUcaEvPO72PijivCjtZcU,1997,37,80,293,405,424,372,429,357,376,351,610,475,650,806,777,899,816,888,892,1038,0.977,0.45,250107,0.311,0.00713,-8.175,0.0314,0.36700000000000005,125.648,0.16699999999999998,"['glam rock', 'mellow gold', 'piano rock', 'soft rock']"
37,37,Kayleigh,Marillion,0r5Ju8WyodpXBHmg3f4zYf,1985,38,55,68,73,66,103,121,115,154,111,173,198,217,159,174,163,172,191,173,195,0.247,0.585,243560,0.5670000000000001,0.0023,-8.35,0.0263,0.564,106.12700000000001,0.102,"['album rock', 'art rock', 'classic rock', 'neo-progressive', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']"
38,38,No Woman No Cry (Live),Bob Marley & The Wailers,423hwXFgoN8RYmqLoLuVvY,1975,39,63,92,93,75,70,93,113,79,86,106,54,79,141,156,233,270,223,257,269,0.272,0.655,427800,0.675,0.0236,-9.352,0.0599,0.5870000000000001,77.589,0.727,['reggae']
39,39,Testament,Boudewijn De Groot,0iqLx1WpZdKT3E2oqLLO3f,1967,40,41,51,31,31,31,31,42,54,39,86,92,130,170,202,211,249,247,277,256,0.537,0.575,195333,0.32,0.0,-13.459000000000001,0.0469,0.647,122.081,0.134,"['dutch pop', 'dutch rock', 'folk rock', 'nederpop']"
40,40,My Heart Will Go On,Celine Dion,33LC84JgLvK2KuW43MfaNq,1998,41,89,209,238,354,334,400,419,326,337,559,562,637,598,849,922,828,1129,1243,978,0.732,0.428,280000,0.276,5.33e-06,-11.729000000000001,0.0312,0.0382,99.195,0.11699999999999999,"['canadian pop', 'dance pop']"
41,41,I'm Not In Love,10cc,5HQEmiV2lKnSO6qa2fsR7x,1975,42,53,27,53,50,64,71,95,60,64,138,437,154,272,404,290,368,372,247,473,0.685,0.40399999999999997,366640,0.523,0.0004980000000000001,-15.7,0.0575,0.16399999999999998,133.738,0.282,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock']"
42,42,When The Lady Smiles,Golden Earring,6RGmi17H0xpHb7hpMxFwip,1984,43,52,84,89,98,96,81,111,165,109,136,135,138,177,146,161,161,115,119,142,0.43799999999999994,0.7040000000000001,340027,0.816,0.00891,-7.121,0.0309,0.83,131.577,0.354,"['album rock', 'classic rock', 'dutch pop', 'dutch prog', 'dutch rock', 'hard rock', 'nederpop', 'rock']"
43,43,Niet Of Nooit Geweest,Acda & De Munnik,4439gDsZasiXC4mGpw6yJc,1998,44,40,48,36,74,87,94,150,108,93,272,243,254,447,542,479,435,486,550,667,0.381,0.478,242493,0.506,0.0,-9.542,0.0356,0.509,122.17399999999999,0.166,"['dutch cabaret', 'dutch indie', 'dutch pop', 'dutch rock']"
44,44,Summer Of '69,Bryan Adams,0GONea6G2XdnHWjNZd6zt3,1984,45,43,94,51,57,59,88,109,98,77,139,131,107,145,167,197,147,150,145,148,0.0183,0.508,216053,0.8340000000000001,0.0,-6.205,0.0386,0.774,139.131,0.0732,"['album rock', 'canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'soft rock']"
45,45,Bright Eyes,Art Garfunkel,3Jy0dWV5AnnfyTvHK6UWof,1979,46,51,53,100,137,120,154,222,140,136,347,223,281,455,470,631,596,624,612,698,0.745,0.38,238600,0.21,0.45,-15.603,0.0319,0.207,112.51,0.0829,"['adult standards', 'folk', 'folk rock', 'mellow gold', 'soft rock', 'traditional folk']"
46,46,The Rose,Bette Midler,562JrM9b7jiu8LgzV62x3o,1980,47,35,30,43,44,36,32,34,24,27,33,29,35,86,105,85,100,94,97,177,0.9009999999999999,0.34700000000000003,221373,0.228,0.0,-9.667,0.0296,0.184,133.57399999999998,0.38,"['adult standards', 'folk', 'mellow gold', 'new wave pop', 'soft rock']"
47,47,The River,Bruce Springsteen,7HrzErXq3TsKOY1gmdIShB,1981,48,33,26,19,30,20,27,40,11,21,30,30,10,15,7,16,17,14,19,21,0.179,0.5870000000000001,301547,0.536,2.75e-05,-11.248,0.0304,0.59,117.49799999999999,0.305,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']"
48,48,The Sound Of Silence,Simon & Garfunkel,5y788ya4NvwhBznoDIcXwK,1966,49,71,61,64,76,85,101,81,153,92,82,74,58,70,32,42,44,23,28,26,0.8370000000000001,0.525,185413,0.21600000000000003,0.0,-13.550999999999998,0.0301,0.32799999999999996,106.76100000000001,0.107,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock']"
49,49,Thank You For The Music,ABBA,08GOw3NsrJ0LsCCeyqzt3b,1978,50,201,264,267,248,210,170,243,137,178,284,310,409,374,460,376,401,378,432,438,0.835,0.28300000000000003,229453,0.41700000000000004,0.0,-9.124,0.0404,0.373,201.145,0.102,"['europop', 'swedish pop']"
50,50,With Or Without You,U2,6ADSaE87h8Y3lccZlBJdXH,1987,51,26,52,35,40,38,47,48,48,46,62,62,86,53,47,45,56,59,41,52,0.000202,0.54,295516,0.429,0.355,-11.822000000000001,0.0285,0.113,110.171,0.141,"['irish rock', 'permanent wave', 'rock']"
51,51,Good Vibrations,Beach Boys,5t9KYe0Fhd5cW6UYT4qP8f,1966,52,54,75,83,85,73,91,117,68,83,98,105,116,245,265,253,313,217,221,448,0.326,0.396,219027,0.473,0.000124,-7.67,0.0345,0.385,133.44899999999998,0.109,"['baroque pop', 'brill building pop', 'classic rock', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']"
52,52,Whole Lotta Rosie,AC/DC,4wYq5wugZDzQiMZQYG4wVB,1978,53,29,15,13,19,17,21,33,12,18,17,28,34,45,64,43,53,73,59,73,0.0014,0.292,333800,0.838,0.479,-4.459,0.078,0.423,159.17600000000002,0.0953,"['album rock', 'australian rock', 'hard rock', 'rock']"
53,53,Purple Rain,Prince & The Revolution,54X78diSLoUDI3joC2bjMz,1984,54,90,160,120,160,104,152,126,148,132,169,79,80,74,77,71,62,13,18,25,0.0353,0.36700000000000005,520787,0.452,0.00228,-10.422,0.0307,0.18899999999999997,113.066,0.6890000000000001,"['funk', 'funk rock', 'minneapolis sound', 'motown', 'synth funk']"
54,54,(Everything I Do) I Do It For You,Bryan Adams,1Eb90nmqTrxylKFhcUzW8P,1991,55,69,63,131,128,153,220,208,229,166,483,459,469,197,581,660,593,784,787,703,0.0805,0.5329999999999999,393640,0.36,1.0300000000000001e-05,-12.633,0.0282,0.299,131.22899999999998,0.0631,"['album rock', 'canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'soft rock']"
55,55,I Put A Spell On You,Creedence Clearwater Revival,4SDywo3ykB2PEthjXvo1UP,1972,56,36,38,54,53,49,56,60,61,54,83,53,77,132,152,143,152,148,157,190,0.00471,0.391,271787,0.732,0.121,-8.187999999999999,0.0295,0.622,100.354,0.0979,"['album rock', 'classic rock', 'country rock', 'rock', 'roots rock', 'southern rock', 'swamp rock']"
56,56,Private Investigations,Dire Straits,5KVak7r5YKcnkmARc0hy0Q,1982,57,19,14,7,17,24,29,31,35,25,37,36,47,49,66,70,67,67,69,80,0.696,0.35600000000000004,405893,0.0967,0.691,-20.084,0.0315,0.067,84.486,0.0801,"['album rock', 'blues rock', 'classic rock', 'mellow gold', 'rock', 'soft rock']"
57,57,Pride (In The Name Of Love),U2,65E62rOSbm7SZbAMYjNTJq,1984,58,47,130,126,182,125,140,137,171,135,217,250,253,239,283,347,294,362,419,258,0.00135,0.45799999999999996,228427,0.843,0.000296,-7.2010000000000005,0.0316,0.713,105.70100000000001,0.778,"['irish rock', 'permanent wave', 'rock']"
58,58,Space Oddity,David Bowie,72Z17vmmeQKAg8bptWvpVG,1969,59,75,144,104,135,78,191,205,278,156,156,185,202,205,161,130,139,38,76,81,0.0748,0.299,318813,0.44299999999999995,0.000138,-12.620999999999999,0.0346,0.434,139.539,0.177,"['album rock', 'art rock', 'classic rock', 'dance rock', 'glam rock', 'permanent wave', 'rock']"
59,59,Light My Fire,Doors,5uvosCdMlFdTXhoazkTI5R,1967,60,99,129,113,96,126,157,166,218,143,201,222,203,196,229,289,357,377,404,529,0.369,0.413,429760,0.725,2.1600000000000003e-05,-5.787000000000001,0.0324,0.44,124.618,0.0905,"['acid rock', 'album rock', 'classic rock', 'psychedelic rock', 'rock']"
60,60,Sebastian,Cockney Rebel,16889jRQ2uzOeDSHaMRLIw,1973,61,84,49,76,90,92,116,146,151,120,191,172,170,244,334,377,414,495,566,784,0.679,0.252,420653,0.23800000000000002,0.0035700000000000003,-14.212,0.0348,0.21,140.023,0.0663,"['classic uk pop', 'glam rock', 'pub rock']"
61,61,Dreadlock Holiday,﻿10cc,1LOZMYF5s8qhW7Rv4w2gun,1978,62,61,43,45,41,52,59,61,37,47,113,303,91,214,298,192,285,261,223,528,0.541,0.8370000000000001,267947,0.38,0.007890000000000001,-13.341,0.064,0.892,104.995,0.198,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock']"
62,62,Halo Of Flies,Alice Cooper,26uVP8g7Uijo0zuN22De3x,1973,63,24,19,21,35,39,57,78,56,51,91,85,109,167,191,209,253,288,268,452,0.39399999999999996,0.387,502160,0.5720000000000001,0.747,-12.565,0.0483,0.39899999999999997,121.796,0.0851,"['album rock', 'blues rock', 'classic rock', 'glam metal', 'glam rock', 'hard rock', 'metal', 'protopunk', 'rock']"
63,63,Go Your Own Way,Fleetwood Mac,07GvNcU1WdyZJq3XxP0kZa,1977,64,67,73,71,69,79,77,94,102,85,63,67,71,81,41,30,40,43,33,42,0.0185,0.583,223613,0.9470000000000001,0.00109,-5.12,0.0378,0.8029999999999999,135.44799999999998,0.0679,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
64,64,Stil In Mij,Van Dik Hout,3xOiF0xnt47PgOwprICudF,1994,65,70,85,49,38,35,53,50,58,48,59,51,52,92,95,91,86,93,95,130,0.215,0.586,244933,0.653,0.0005549999999999999,-8.576,0.0315,0.38799999999999996,99.454,0.133,"['dutch cabaret', 'dutch pop', 'dutch rock', 'nederpop']"
65,65,Ne Me Quitte Pas,Jacques Brel,6IRA4KOVbtiGiTdYoEThJN,1965,66,195,134,133,101,113,86,82,88,90,94,72,118,130,93,150,156,174,217,278,0.821,0.41600000000000004,229400,0.23600000000000002,0.00011999999999999999,-10.962,0.0499,0.302,101.069,0.18899999999999997,"['belgian singer-songwriter', 'chanson', 'french pop', 'french rock']"
66,66,Wuthering Heights,Kate Bush,5YSI1311X8t31PBjkBG4CZ,1978,67,77,96,95,116,93,99,119,111,102,101,102,132,144,164,117,128,118,120,126,0.366,0.48100000000000004,269067,0.392,0.0452,-11.380999999999998,0.0312,0.52,124.572,0.124,"['art pop', 'art rock', 'baroque pop', 'chamber psych', 'dance pop', 'dance rock', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']"
67,67,Paranoid,Black Sabbath,1jzDzZWeSDBg5fhNc3tczV,1970,68,0,79,52,42,58,96,124,105,80,112,114,103,88,71,104,123,113,111,133,7.85e-05,0.429,168440,0.631,0.00411,-11.514000000000001,0.0769,0.376,162.734,0.175,"['album rock', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal']"
68,68,Mr. Blue Sky,Electric Light Orchestra,2RlgNHKcydI9sayD2Df2xp,1978,69,59,42,68,80,90,73,84,112,81,85,88,92,115,85,90,58,79,55,51,0.652,0.38799999999999996,303373,0.33799999999999997,3.72e-06,-10.054,0.0328,0.47700000000000004,177.78400000000002,0.248,"['album rock', 'art rock', 'beatlesque', 'bow pop', 'classic rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']"
69,69,Heroes,David Bowie,7Jh1bpe76CNTCgdgAdBw4Z,1977,70,62,77,63,71,99,137,125,130,112,123,112,145,119,79,34,60,7,11,17,0.000671,0.49,371413,0.758,0.484,-6.4910000000000005,0.0297,0.435,112.11399999999999,0.092,"['album rock', 'art rock', 'classic rock', 'dance rock', 'glam rock', 'permanent wave', 'rock']"
70,70,Year Of The Cat,Al Stewart,5jYYumalS1qELrcChOCZrK,1977,71,60,36,55,63,77,83,127,78,79,198,169,241,358,380,414,448,440,415,600,0.0114,0.531,401400,0.607,0.00511,-9.602,0.0328,0.534,116.652,0.121,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'progressive rock', 'soft rock', 'symphonic rock']"
71,71,In The Air Tonight,Phil Collins,18AXbzPzBS8Y3AkgSxzJPb,1981,72,127,81,81,56,75,106,102,143,95,109,113,115,102,106,97,87,54,48,41,0.551,0.446,336453,0.239,4.1e-06,-13.945,0.0316,0.298,189.507,0.0697,"['mellow gold', 'rock drums', 'soft rock']"
72,72,De Vlieger,André Hazes,6cMVopr4k5Fexl6zjB2EDr,1977,73,0,60,82,78,51,69,87,67,70,196,159,234,220,333,406,395,405,379,344,0.12,0.491,219573,0.703,0.0,-5.496,0.0265,0.344,105.109,0.314,"['dutch pop', 'dutch rock', 'levenslied', 'nederpop']"
73,73,Last Christmas,Wham,6wn2nmFn3wDuiMldRiuRuL,1984,74,139,263,292,447,286,467,358,437,359,416,443,631,930,743,628,547,530,366,484,0.262,0.757,267160,0.618,0.0,-7.9639999999999995,0.0282,0.861,106.85600000000001,0.221,"['dance rock', 'new wave pop', 'soft rock']"
74,74,I Still Haven't Found What I'm Looking For,U2,6wpGqhRvJGNNXwWlPmkMyO,1987,75,0,97,88,118,111,92,72,73,84,102,107,102,121,116,124,132,142,123,128,0.0135,0.564,277477,0.774,0.0019100000000000002,-9.424,0.0368,0.657,100.89399999999999,0.0861,"['irish rock', 'permanent wave', 'rock']"
