,title,artist,track_uri,year,pos1999,pos2000,pos2001,pos2002,pos2003,pos2004,pos2005,pos2006,pos2007,pos2008,pos2009,pos2010,pos2011,pos2012,pos2013,pos2014,pos2015,pos2016,pos2017,pos2018
0,Bohemian Rhapsody,Queen,4u7EnebtmKWzUH433cf5Qv,1975,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1
1,Hotel California,Eagles,40riOy7x9W7GXjyGp4pjAv,1977,2,4,3,3,2,2,3,3,3,2,2,1,2,2,2,1,3,2,2,2
2,Child In Time,Deep Purple,21cp8L9Pei4AgysZVihjSv,1972,3,2,2,2,3,3,4,4,4,4,5,4,3,4,4,4,8,5,5,6
3,Stairway To Heaven,Led Zeppelin,5CQ30WqJwcep0pYcV4AMNc,1971,4,3,4,4,4,4,5,5,5,5,4,5,5,3,3,3,5,3,3,4
4,Paradise By The Dashboard Light,Meat Loaf,2g7gviEeJr6pyxO7G35EWQ,1978,5,5,5,5,5,6,6,7,10,6,12,9,11,19,22,17,30,27,27,29
5,Yesterday,Beatles,3BQHpFgAp4l80e1XslIjNI,1965,6,8,24,30,34,37,46,39,32,28,44,33,50,85,76,89,96,97,87,122
6,Imagine,John Lennon,7pKfPomDEeI4TPT6EOYjn9,1971,7,7,11,11,13,9,15,15,41,15,41,26,28,22,23,38,1,12,16,16
7,Angie,Rolling Stones,1GcVa4jFySlun4jLSuMhiq,1973,8,9,22,12,10,13,18,21,45,20,36,35,41,26,46,54,77,78,70,79
8,Bridge Over Troubled Water,Simon & Garfunkel,6l8EbYRtQMgKOyc1gcDHF9,1970,9,27,17,32,32,45,42,43,66,43,39,32,33,38,38,48,59,52,58,61
9,A Whiter Shade Of Pale,Procol Harum,78ZqE2tjAxbqEGGlvGnQfT,1967,10,18,23,20,22,28,22,25,47,26,50,42,65,61,83,98,105,119,117,153
10,Hey Jude,Beatles,0aym2LBJBk9DAYuHHutrIl,1968,11,6,9,15,18,18,14,22,18,16,23,24,24,33,45,58,48,39,61,70
11,Riders On The Storm,Doors,14XWXWv5FoCbFzLksawpEe,1971,12,14,12,10,12,16,24,26,33,22,26,27,23,32,30,40,49,46,49,58
12,House Of The Rising Sun,Animals,4mn2kNTqiGLwaUR8JdhJ1l,1964,13,12,6,6,7,8,8,12,7,7,29,18,25,51,55,78,84,71,77,86
13,Goodnight Saigon,Billy Joel,5bIwtIednTXz7BHnnoQN06,1983,14,11,8,18,25,22,34,51,38,32,53,38,62,80,90,83,79,77,81,93
14,Nights In White Satin,Moody Blues,6L5BZEcZmD6RBJnimzlyKr,1968,15,25,29,23,28,33,35,23,50,31,42,41,45,65,68,76,102,122,124,111
15,Dancing Queen,ABBA,0GjEhVFGZW8afUYGChu3Rr,1976,16,30,28,41,46,42,36,49,29,37,70,68,88,111,160,127,155,131,92,67
16,Another Brick In The Wall,Pink Floyd,7rPzEczIS574IgPaiPieS3,1979,17,20,20,26,39,32,52,46,86,45,56,47,53,39,48,56,72,66,90,54
17,Sunday Bloody Sunday,U2,3qOJF8ha5YcGlcPJm25WG3,1985,18,13,31,24,37,29,39,41,65,41,57,55,66,55,62,62,57,49,47,69
18,Music,John Miles,5Q2VbOrB93TGahnjBQGoOR,1976,19,39,32,37,36,67,75,65,76,56,111,122,123,113,129,116,135,170,187,209
19,Sultans Of Swing,Dire Straits,37Tmv4NnfQeb0ZgUC4fOJj,1978,20,16,10,16,15,27,28,27,28,23,32,25,30,28,21,27,25,26,26,20
20,Tears In Heaven,Eric Clapton,612VcBshQcy4mpB2utGc3H,1992,21,31,35,34,43,40,41,44,46,36,60,50,44,77,65,73,83,83,75,78
21,(I Can't Get No) Satisfaction,Rolling Stones,2PzU4IB8Dr6mxV3lHuaG34,1965,22,46,102,75,81,82,123,122,164,116,157,181,216,93,225,238,236,294,305,304
22,Radar Love,Golden Earring,5tU9JM1v72X7oM808Am6Fq,1973,23,21,21,27,27,12,13,16,23,17,24,16,18,18,24,26,31,22,21,27
23,Old And Wise,Alan Parsons Project,5Jt2AQv1c3RUF5ENtAYF1i,1982,24,28,13,8,9,11,9,11,9,8,18,10,20,21,31,28,37,37,35,65
24,Losing My Religion,R.E.M.,31AOj9sFz2gM0O3hMARRBx,1991,25,15,37,42,33,46,76,79,132,60,67,83,68,118,111,126,112,80,73,84
25,School,Supertramp,6fnachl7fIn5dqIjakfJ57,1974,26,17,16,14,21,34,37,36,52,33,46,44,37,35,37,41,52,48,44,44
26,Let It Be,Beatles,7iN1s7xHE4ifF5povM6A48,1970,27,37,40,47,23,41,55,58,57,49,54,46,56,52,39,50,51,68,79,53
27,Brothers In Arms,Dire Straits,0CzeAbfKFnxnWjwo5iYiCG,1985,28,22,7,9,11,15,19,20,19,13,21,19,15,11,11,14,15,19,17,15
28,Sympathy For The Devil,Rolling Stones,1hvkv6bfDK0liE4xz3cDwe,1973,29,34,44,28,14,26,38,45,59,38,43,43,46,50,35,37,46,60,51,49
29,Who Wants To Live Forever,Queen,3SGP8It5WDnCONyApJKRTJ,1986,30,23,34,22,45,50,74,74,120,62,77,87,94,134,100,100,99,86,107,74
30,Everybody Hurts,R.E.M.,6PypGyiu0Y2lCDBN1XZEnP,1993,31,0,50,61,58,61,58,66,99,68,76,66,59,101,122,138,138,140,144,166
31,Over De Muur,Klein Orkest,5rAG0XusRfyLrzYV7A7lBL,1984,32,38,54,50,59,56,48,47,64,52,47,56,83,71,84,60,76,81,45,60
32,Paint It Black,Rolling Stones,63T7DJ1AFDD6Bn8VzG6JE8,1966,33,48,62,60,54,54,68,57,107,63,65,63,82,43,49,57,50,61,67,48
33,Africa,Toto,2374M0fQpWi3dLnB54qaLX,1982,34,49,33,39,52,63,70,75,110,66,100,97,87,62,28,51,42,30,25,8
34,The Winner Takes It All,ABBA,3oEkrIfXfSh9zGnE7eBzSV,1980,35,92,106,103,77,133,113,140,94,107,121,104,176,201,197,135,174,165,192,176
35,Het Dorp,Wim Sonneveld,60B0BFGuCb5w1aCYmxfwKs,1974,36,32,39,38,48,47,44,29,53,42,40,40,57,69,36,39,45,55,62,64
36,Candle In The Wind '97,Elton John,3DUcaEvPO72PijivCjtZcU,1997,37,80,293,405,424,372,429,357,376,351,610,475,650,806,777,899,816,888,892,1038
37,Kayleigh,Marillion,0r5Ju8WyodpXBHmg3f4zYf,1985,38,55,68,73,66,103,121,115,154,111,173,198,217,159,174,163,172,191,173,195
38,No Woman No Cry (Live),Bob Marley & The Wailers,423hwXFgoN8RYmqLoLuVvY,1975,39,63,92,93,75,70,93,113,79,86,106,54,79,141,156,233,270,223,257,269
39,Testament,Boudewijn De Groot,0iqLx1WpZdKT3E2oqLLO3f,1967,40,41,51,31,31,31,31,42,54,39,86,92,130,170,202,211,249,247,277,256
40,My Heart Will Go On,Celine Dion,33LC84JgLvK2KuW43MfaNq,1998,41,89,209,238,354,334,400,419,326,337,559,562,637,598,849,922,828,1129,1243,978
41,I'm Not In Love,10cc,5HQEmiV2lKnSO6qa2fsR7x,1975,42,53,27,53,50,64,71,95,60,64,138,437,154,272,404,290,368,372,247,473
42,When The Lady Smiles,Golden Earring,6RGmi17H0xpHb7hpMxFwip,1984,43,52,84,89,98,96,81,111,165,109,136,135,138,177,146,161,161,115,119,142
43,Niet Of Nooit Geweest,Acda & De Munnik,4439gDsZasiXC4mGpw6yJc,1998,44,40,48,36,74,87,94,150,108,93,272,243,254,447,542,479,435,486,550,667
44,Summer Of '69,Bryan Adams,0GONea6G2XdnHWjNZd6zt3,1984,45,43,94,51,57,59,88,109,98,77,139,131,107,145,167,197,147,150,145,148
45,Bright Eyes,Art Garfunkel,3Jy0dWV5AnnfyTvHK6UWof,1979,46,51,53,100,137,120,154,222,140,136,347,223,281,455,470,631,596,624,612,698
46,The Rose,Bette Midler,562JrM9b7jiu8LgzV62x3o,1980,47,35,30,43,44,36,32,34,24,27,33,29,35,86,105,85,100,94,97,177
47,The River,Bruce Springsteen,7HrzErXq3TsKOY1gmdIShB,1981,48,33,26,19,30,20,27,40,11,21,30,30,10,15,7,16,17,14,19,21
48,The Sound Of Silence,Simon & Garfunkel,5y788ya4NvwhBznoDIcXwK,1966,49,71,61,64,76,85,101,81,153,92,82,74,58,70,32,42,44,23,28,26
49,Thank You For The Music,ABBA,08GOw3NsrJ0LsCCeyqzt3b,1978,50,201,264,267,248,210,170,243,137,178,284,310,409,374,460,376,401,378,432,438
50,With Or Without You,U2,6ADSaE87h8Y3lccZlBJdXH,1987,51,26,52,35,40,38,47,48,48,46,62,62,86,53,47,45,56,59,41,52
51,Good Vibrations,Beach Boys,5t9KYe0Fhd5cW6UYT4qP8f,1966,52,54,75,83,85,73,91,117,68,83,98,105,116,245,265,253,313,217,221,448
52,Whole Lotta Rosie,AC/DC,4wYq5wugZDzQiMZQYG4wVB,1978,53,29,15,13,19,17,21,33,12,18,17,28,34,45,64,43,53,73,59,73
53,Purple Rain,Prince & The Revolution,54X78diSLoUDI3joC2bjMz,1984,54,90,160,120,160,104,152,126,148,132,169,79,80,74,77,71,62,13,18,25
54,(Everything I Do) I Do It For You,Bryan Adams,1Eb90nmqTrxylKFhcUzW8P,1991,55,69,63,131,128,153,220,208,229,166,483,459,469,197,581,660,593,784,787,703
55,I Put A Spell On You,Creedence Clearwater Revival,4SDywo3ykB2PEthjXvo1UP,1972,56,36,38,54,53,49,56,60,61,54,83,53,77,132,152,143,152,148,157,190
56,Private Investigations,Dire Straits,5KVak7r5YKcnkmARc0hy0Q,1982,57,19,14,7,17,24,29,31,35,25,37,36,47,49,66,70,67,67,69,80
57,Pride (In The Name Of Love),U2,65E62rOSbm7SZbAMYjNTJq,1984,58,47,130,126,182,125,140,137,171,135,217,250,253,239,283,347,294,362,419,258
58,Space Oddity,David Bowie,72Z17vmmeQKAg8bptWvpVG,1969,59,75,144,104,135,78,191,205,278,156,156,185,202,205,161,130,139,38,76,81
59,Light My Fire,Doors,5uvosCdMlFdTXhoazkTI5R,1967,60,99,129,113,96,126,157,166,218,143,201,222,203,196,229,289,357,377,404,529
60,Sebastian,Cockney Rebel,16889jRQ2uzOeDSHaMRLIw,1973,61,84,49,76,90,92,116,146,151,120,191,172,170,244,334,377,414,495,566,784
61,Dreadlock Holiday,﻿10cc,1LOZMYF5s8qhW7Rv4w2gun,1978,62,61,43,45,41,52,59,61,37,47,113,303,91,214,298,192,285,261,223,528
62,Halo Of Flies,Alice Cooper,26uVP8g7Uijo0zuN22De3x,1973,63,24,19,21,35,39,57,78,56,51,91,85,109,167,191,209,253,288,268,452
63,Go Your Own Way,Fleetwood Mac,07GvNcU1WdyZJq3XxP0kZa,1977,64,67,73,71,69,79,77,94,102,85,63,67,71,81,41,30,40,43,33,42
64,Stil In Mij,Van Dik Hout,3xOiF0xnt47PgOwprICudF,1994,65,70,85,49,38,35,53,50,58,48,59,51,52,92,95,91,86,93,95,130
65,Ne Me Quitte Pas,Jacques Brel,6IRA4KOVbtiGiTdYoEThJN,1965,66,195,134,133,101,113,86,82,88,90,94,72,118,130,93,150,156,174,217,278
66,Wuthering Heights,Kate Bush,5YSI1311X8t31PBjkBG4CZ,1978,67,77,96,95,116,93,99,119,111,102,101,102,132,144,164,117,128,118,120,126
67,Paranoid,Black Sabbath,1jzDzZWeSDBg5fhNc3tczV,1970,68,0,79,52,42,58,96,124,105,80,112,114,103,88,71,104,123,113,111,133
68,Mr. Blue Sky,Electric Light Orchestra,2RlgNHKcydI9sayD2Df2xp,1978,69,59,42,68,80,90,73,84,112,81,85,88,92,115,85,90,58,79,55,51
69,Heroes,David Bowie,7Jh1bpe76CNTCgdgAdBw4Z,1977,70,62,77,63,71,99,137,125,130,112,123,112,145,119,79,34,60,7,11,17
70,Year Of The Cat,Al Stewart,5jYYumalS1qELrcChOCZrK,1977,71,60,36,55,63,77,83,127,78,79,198,169,241,358,380,414,448,440,415,600
71,In The Air Tonight,Phil Collins,18AXbzPzBS8Y3AkgSxzJPb,1981,72,127,81,81,56,75,106,102,143,95,109,113,115,102,106,97,87,54,48,41
72,De Vlieger,André Hazes,6cMVopr4k5Fexl6zjB2EDr,1977,73,0,60,82,78,51,69,87,67,70,196,159,234,220,333,406,395,405,379,344
73,Last Christmas,Wham,6wn2nmFn3wDuiMldRiuRuL,1984,74,139,263,292,447,286,467,358,437,359,416,443,631,930,743,628,547,530,366,484
74,I Still Haven't Found What I'm Looking For,U2,6wpGqhRvJGNNXwWlPmkMyO,1987,75,0,97,88,118,111,92,72,73,84,102,107,102,121,116,124,132,142,123,128
75,The Day Before You Came,ABBA,6W26h4KbGUnEaav5VWIyJm,1982,76,73,65,65,55,91,65,104,44,57,78,91,139,191,183,133,215,275,273,315
76,Hey Joe,Jimi Hendrix Experience,0NWPxcsf5vdjdiFUI8NgkP,1967,77,105,182,163,167,151,174,196,220,170,179,204,161,203,215,343,360,428,437,366
77,We Are The Champions,Queen,1lCRw5FEZ1gPDNPzy1K4zW,1977,78,128,319,223,267,247,222,271,655,301,424,470,412,601,555,672,579,543,583,216
78,Money,Pink Floyd,7Gx2q0ueNwvDp2BOZYGCMO,1973,79,197,219,293,230,326,245,214,347,248,291,290,264,211,271,323,398,416,402,362
79,Pastorale,Ramses Shaffy & Liesbeth List,50a6StrR0wfLLYKqBl1mvg,1969,80,119,58,40,51,43,33,24,51,40,6,21,27,46,42,47,71,69,86,106
80,Thriller,Michael Jackson,7azo4rpSUh8nXgtonC6Pkq,1983,81,187,162,239,340,309,408,246,506,324,52,126,144,181,176,212,205,176,147,113
81,Somebody To Love,Queen,4rDbp1vnvEhieiccprPMdI,1976,82,65,88,74,104,119,126,129,150,122,134,116,104,87,91,81,65,58,66,33
82,A Day In The Life,Beatles,0hKRSZhUGEhKU6aNSPBACZ,1967,83,66,87,98,122,127,107,76,49,75,71,75,78,82,126,148,167,241,165,247
83,With A Little Help From My Friends,Joe Cocker,0YZ3J8xzGwLOg4yEgST1YK,1968,84,287,148,169,238,159,180,179,335,193,233,225,201,338,311,364,220,299,286,348
84,I Want To Break Free,Queen,2AkmdLbVKS1steeZdy8H1l,1984,85,123,177,108,121,108,129,121,172,130,183,195,126,231,235,219,219,224,265,118
85,Total Eclipse Of The Heart,Bonnie Tyler,7wuJGgpTNzbUyn26IOY6rj,1983,86,133,142,124,215,208,264,352,316,245,486,478,503,629,579,645,664,647,619,480
86,Nikita,Elton John,3G0ENKW9vzV0SuYKaWFflI,1985,87,143,181,368,396,289,410,346,359,335,669,506,737,1046,917,837,973,996,786,860
87,Roxanne,Police,3EYOJ48Et32uATr9ZmLnAo,1979,88,186,217,221,309,232,391,363,341,303,249,207,210,219,201,287,299,233,228,187
88,Careless Whisper,George Michael,4jDmJ51x1o9NZB5Nxxc7gY,1984,89,275,288,226,517,469,625,425,580,469,545,691,691,546,721,648,710,614,232,204
89,Nothing Compares 2u,Sinead O'Connor,3nvuPQTw2zuFAVuLsC9IYQ,1990,90,115,200,216,126,172,247,224,343,203,254,269,300,348,364,327,394,361,323,282
90,Wonderful Tonight,Eric Clapton,6zC0mpGYwbNTpk9SKwh08f,1988,91,214,116,156,180,150,124,153,191,146,251,239,274,349,321,325,361,392,383,455
91,Woman In Love,Barbra Streisand,1pTGc8pwyo6xtgXBKCBcFn,1980,92,157,176,196,193,219,173,229,156,176,246,242,453,755,661,536,672,630,542,842
92,Mama,Genesis,4q6bSpQPptaC9uIqmu5GEw,1983,93,107,93,102,113,143,148,177,232,150,163,188,211,227,231,215,233,225,175,342
93,Blowin' In The Wind,Bob Dylan,18GiV1BaXzPVYpp9rmOg0E,1963,94,147,179,195,211,194,205,188,168,173,210,199,262,317,331,488,412,417,549,605
94,Dust In The Wind,Kansas,6zeE5tKyr8Nu882DQhhSQI,1978,95,183,338,161,127,227,210,221,254,197,311,375,330,250,219,224,213,235,214,263
95,Eternal Flame,Bangles,5MoDQWMDMaAGDEiWsJfeCi,1989,96,138,104,199,244,205,334,440,383,295,431,427,546,835,814,666,774,662,775,1120
96,Strawberry Fields Forever,Beatles,3Am0IbOxmvlSXro7N5iSfZ,1967,97,131,180,214,207,259,261,187,183,189,204,247,271,308,301,395,322,387,505,587
97,Against All Odds (Take A Look At Me Now),Phil Collins,63CHa6rmamv9OsehkRD8oz,1984,98,152,132,153,159,170,238,230,395,215,274,308,394,240,307,370,393,352,282,320
98,Every Breath You Take,Police,1JSTJqkT5qHq8MDJnJbRE1,1983,99,166,167,184,259,284,434,403,412,340,381,351,345,356,210,330,386,318,290,286
99,Eloise,Barry Ryan,6z9XVXX8AXxVunhocuLTMe,1968,100,97,83,117,108,141,127,145,70,110,258,261,365,410,553,566,707,805,851,1134
100,Waterloo,ABBA,3Dy4REq8O09IlgiwuHQ3sk,1974,101,182,467,607,605,512,299,546,419,452,701,728,918,783,836,890,772,742,660,413
101,Verdronken Vlinder,Boudewijn De Groot,6WVSZMmvptfhEJLeq1xYDv,1966,102,95,95,72,47,65,51,62,63,55,105,109,153,238,232,251,298,300,360,398
102,Jeanny,Falco,6a0lr0jt8lKDJhsAYA49NS,1985,103,58,67,70,94,101,143,141,207,133,188,182,169,165,193,132,153,107,102,131
103,If You Leave Me Now,Chicago,0KMGxYKeUzK9wc5DZCt3HT,1976,104,103,103,119,218,165,214,250,222,194,288,252,383,634,677,627,716,550,597,806
104,32 Jaar (Sinds 1 Dag Of 2),Doe Maar,3IbkWFHKCQp1Y7oLjeQgGv,1981,105,203,367,366,338,363,424,449,450,395,509,566,439,172,531,678,584,605,626,461
105,"Non, Je Ne Regrette Rien",Edith Piaf,3dkIE8P7hvl3tHl9KSb6dA,1961,106,234,403,507,312,313,309,236,158,224,277,328,263,413,363,427,460,622,582,577
106,All Along The Watchtower,Jimi Hendrix Experience,2aoo2jlRnM3A0NyLQqMN2f,1968,107,130,242,146,146,136,162,158,147,142,120,138,131,123,97,156,160,179,179,137
107,Stayin' Alive,Bee Gees,3mRM4NM8iO7UBqrSigCQFH,1978,108,153,101,255,284,277,409,434,503,357,489,407,455,633,533,579,525,399,388,481
108,Con Te Partiro,Andrea Bocelli,7zrpoAJte9o12TzawqgdD0,1996,109,0,155,251,364,248,326,373,135,228,755,493,556,735,706,898,697,724,779,912
109,Hello,Lionel Richie,6HMvJcdw6qLsyV1b5x29sa,1984,110,267,351,430,480,305,550,489,694,483,666,665,682,753,905,894,912,1044,1023,1191
110,In The Ghetto,Elvis Presley,7KWoeBqSdZHEloYKVxssfG,1969,111,163,247,168,112,158,114,157,186,140,203,216,245,292,266,321,261,248,203,241
111,Suspicious Minds,Elvis Presley,1H5IfYyIIAlgDX8zguUzns,1969,112,140,281,130,86,107,84,97,81,89,108,77,120,135,153,151,121,106,85,104
112,Another Day In Paradise,Phil Collins,1NCuYqMc8hKMb4cpNTcJbD,1989,113,253,233,225,166,207,250,323,567,281,436,439,367,322,286,392,413,406,390,316
113,"Welterusten, Mijnheer De President",Boudewijn De Groot,75MBgR1T83zzuYVyuW6B4q,1966,114,126,71,91,70,68,85,80,96,78,160,194,219,457,362,460,421,400,474,485
114,My Way,Frank Sinatra,3spdoTYpuCpmq19tuD0bOe,1969,115,449,377,331,422,412,423,308,363,353,459,444,404,387,368,407,373,359,340,371
115,Papa,Stef Bos,6NP6BCW2M2I4vdcnXMAvjl,1991,116,86,98,87,65,94,43,28,43,44,72,84,51,75,80,101,109,116,91,94
116,Dromen Zijn Bedrog,Marco Borsato,2o4iWZOFE8kkl0tK66WADw,1994,117,283,255,488,465,202,274,225,403,275,356,735,820,957,1065,1145,986,1357,1605,1290
117,How Deep Is Your Love,Bee Gees,2JoZzpdeP2G6Csfdq5aLXP,1977,118,196,146,271,260,260,300,350,354,289,562,451,525,561,617,683,654,496,516,629
118,Born In The Usa,Bruce Springsteen,0dOg1ySSI7NkpAe89Zo0b9,1985,119,158,122,111,214,183,254,282,258,214,293,266,249,273,309,489,489,389,466,417
119,In Nije Dei,De Kast,6ckD6hc0JylXs6xHuwKx3b,1997,120,108,126,197,405,441,413,368,275,325,411,249,416,663,511,615,734,769,907,911
120,Piano Man,Billy Joel,3FCto7hnn1shUyZL42YgfO,1974,121,83,57,58,60,66,49,54,34,50,45,45,29,36,18,7,6,4,4,3
121,Troy,Sinead O'Connor,6m3kJ6d7Ypd1eoBoGP2qZN,1987,122,72,124,123,131,140,177,195,268,162,221,254,273,275,267,248,278,278,260,314
122,God Only Knows,Beach Boys,6iGU74CwXuT4XVepjc9Emf,1966,123,117,137,110,117,88,80,68,42,59,20,20,31,44,59,13,19,18,29,46
123,I Was Made For Loving You,KISS,3zzgFIwELwKFkNXt8rYETv,1979,124,173,205,152,184,166,283,378,479,270,317,390,390,375,348,332,397,380,400,312
124,Heart Of Gold,Neil Young,1Q1b8eVkUPGlpSArl8JAVw,1972,125,155,145,148,153,174,202,165,228,169,175,157,196,187,157,187,222,205,207,240
125,Oerend Hard,Normaal,3d8KtuxdO6kba5qzRcbqlk,1977,126,149,169,106,95,117,82,107,119,101,226,214,302,256,275,271,186,336,343,330
126,Samba Pa Ti,Santana,35fC3Wq3slX4OBfyvBVmHm,1970,127,150,153,176,188,177,182,184,257,182,161,154,221,276,295,216,273,196,236,423
127,Teach Your Children,"Crosby, Stills, Nash & Young",29HaKOpeLSYvqdFyEQSRdj,1970,128,145,78,150,130,142,159,160,199,149,237,208,325,628,513,751,776,498,640,681
128,The Final Countdown,Europe,3MrRksHupTVEQ7YbA0FsZK,1986,129,87,166,180,202,189,227,283,452,247,538,497,545,519,436,589,566,568,523,426
129,Lola,Kinks,0UAJH0k4k3slcE83a9UGCe,1970,130,85,156,205,181,188,265,227,361,222,242,245,276,424,346,375,569,688,637,0
130,I Will Always Love You,Whitney Houston,4eHbdreAnSOrDDsFfc4Fpm,1992,131,405,476,551,537,463,636,513,483,505,505,534,687,401,433,446,381,453,484,447
131,Take On Me,A-Ha,2WfaOiMkCvy7F5fcp2zZ8L,1985,132,68,72,79,145,146,147,247,179,152,345,293,308,368,394,284,227,178,156,321
132,Under Pressure,David Bowie & Queen,5oidljiMjeJTWUGZ4TfFea,1981,133,265,332,185,308,273,345,493,524,376,229,352,324,265,192,193,201,87,101,38
133,Living Doll,Cliff Richard & The Young Ones,2OqzR7I7GF19T2qPrbmYQC,1986,134,371,374,450,1008,696,967,1081,1103,887,916,973,1049,1574,1160,1314,1433,1490,1661,1766
134,Owner Of A Lonely Heart,Yes,0GTK6TesV108Jj5D3MHsYb,1983,135,94,86,101,165,221,233,318,374,235,270,348,361,364,406,379,389,412,458,662
135,Fragile,Sting,5oE6INocVL9viDow5y8QNM,1988,136,249,99,118,99,105,98,90,115,98,117,110,111,78,74,86,95,102,110,155
136,Zelfs Je Naam Is Mooi,Henk Westbroek,5RWOzvrzPQnt5Ybqxgddrc,1998,137,129,210,171,97,144,122,96,124,113,190,141,232,260,320,340,380,514,526,659
137,Happy New Year,ABBA,2DSqvl6QNkI9h4wkEEywCp,1980,138,382,349,503,426,320,417,402,225,330,552,552,619,643,815,771,911,851,894,892
138,Kiss From A Rose,Seal,3YKptz29AsOlm7WAVnztBh,1994,139,262,389,227,222,270,384,337,465,329,376,344,332,396,329,299,280,307,320,440
139,Barcelona,Freddie Mercury & Montserrat Caballé,3BdId1EhcMX7yAzwzQJLAD,1987,140,134,189,160,186,251,201,180,181,175,241,147,162,105,200,249,296,302,211,143
140,Proud Mary,Ike & Tina Turner,4ppxp8rJB8eOhM9TFm6dK2,1971,141,132,168,144,136,114,139,139,223,138,205,193,182,225,224,202,268,277,250,180
141,How You Gonna See Me Now,Alice Cooper,0spN4UlSI0X6YSYCWpSzgz,1979,142,136,91,128,168,132,166,289,170,163,414,248,368,711,626,603,807,708,654,789
142,Do They Know It's Christmas,Band Aid,0247StOpd3AkeBQzANX4Zf,1984,143,137,277,298,612,203,709,815,934,563,992,985,1203,1262,1225,673,908,1149,1192,1329
143,Hurricane,Bob Dylan,1lqMLr9Wj7SM2F9AikGcxN,1975,144,56,56,66,83,60,66,70,55,61,58,58,70,95,73,115,127,100,133,160
144,Du,Peter Maffay,6fFshpRdAV1MHSpzXP3Yyk,1971,145,170,223,210,133,206,221,136,173,153,147,160,180,234,268,278,332,303,266,326
145,White Rabbit,Jefferson Airplane,4vpeKl0vMGdAXpZiQB2Dtd,1970,146,104,175,155,125,155,178,199,265,172,235,287,272,284,223,239,291,301,281,318
146,Vienna,Ultravox,3cbLm923IeoVDOMEPOfosc,1981,147,106,136,138,152,220,272,290,387,242,220,264,349,378,359,310,366,315,322,397
147,I Want You,Elvis Costello,1VN8ew9KECPqYS3sVbnZRr,1986,148,200,289,140,161,154,160,181,239,168,285,220,297,352,302,297,406,434,465,564
148,Margherita,Marco Borsato,1pJmdIiTYfGtYRKXCnM5S5,1996,149,156,152,147,142,98,131,105,160,128,129,187,175,226,289,354,228,374,471,420
149,Forever Young,Alphaville,4S1VYqwfkLit9mKVY3MXoo,1984,150,100,70,69,68,102,97,131,95,96,187,149,195,266,253,281,284,280,235,298
150,Kronenburg Park,Frank Boeijen,5l0mUA4hwewx7cj8KzBGGE,1985,151,93,133,139,119,145,132,130,162,134,159,170,230,247,230,274,289,308,237,225
151,The Logical Song,Supertramp,6mHOcVtsHLMuesJkswc0GZ,1979,152,154,198,158,252,288,342,366,422,317,453,474,421,452,319,403,363,395,354,356
152,California Dreamin',The Mamas & The Papas,4s6LhHAV5SEsOV0lC2tjvJ,1966,153,135,296,164,123,128,185,168,270,159,155,146,167,183,250,237,247,255,262,302
153,Englishman In New York,Sting,4KFM3A5QF2IMcc6nHsu3Wp,1988,154,280,272,234,219,252,322,249,332,256,331,262,260,230,194,317,242,242,240,196
154,Twilight Zone,Golden Earring,1miXjv3X34Q9w7wDZoBnDz,1982,155,118,117,141,174,160,171,178,240,167,289,277,259,341,305,365,371,324,306,358
155,In A Gadda Da Vida,Iron Butterfly,41TqRBgF4Ahyr4vGmZVk8b,1970,156,148,333,291,148,268,307,331,372,272,387,398,500,461,558,541,638,787,772,1206
156,Conquest Of Paradise,Vangelis,5avVpUakfMHD6qGpaH26CF,1995,157,231,251,248,190,280,356,326,366,290,357,372,313,316,396,304,362,482,497,614
157,Tell Him,Celine Dion & Barbra Streisand,4XUVRFFW88NsqOvhUbQnJH,1997,158,303,273,323,506,385,375,437,477,414,748,659,856,1436,1606,1463,1659,0,1354,1481
158,Tubular Bells,Mike Oldfield,0H8KWr5Z44U1HzrrKeNmNP,1974,159,178,211,257,316,302,291,291,536,332,335,336,299,346,366,416,513,680,575,747
159,Don't Dream It's Over,Crowded House,56GbZVwxMdf1DENCluYS8A,1987,160,220,356,332,474,436,574,655,724,555,766,757,786,1053,793,1004,1046,726,681,783
160,I Want To Know What Love Is,Foreigner,1JLn8RhQzHz3qDqsChcmBl,1984,161,221,151,200,283,173,301,285,461,271,372,374,423,591,624,471,524,394,300,403
161,Aan De Kust,Bløf,7mvxl7tRdYZsJ9jxgIJrVa,1998,162,57,64,121,91,95,111,123,104,100,176,173,239,155,255,319,320,311,314,384
162,Fantasy,"Earth, Wind & Fire",0Eq4BMgsdV6DkLSJfX8eBt,1978,163,180,201,230,305,279,317,355,355,304,286,205,327,326,347,381,358,366,370,479
163,Worn Down Piano,Mark & Clark Band,2tfF0ihNIYnh64wJoLhtZZ,1977,164,78,66,59,72,81,64,73,83,72,95,80,127,107,125,112,136,216,275,289
164,The Boxer,Simon & Garfunkel,76TZCvJ8GitQ2FA1q5dKu0,1969,165,212,178,174,221,197,200,193,307,205,180,166,141,120,123,144,162,134,140,154
165,Jimmy,Boudewijn De Groot,10qcJkRx2MVqnAVKtBquS6,1973,166,167,138,116,141,168,163,218,260,179,375,449,506,543,541,724,696,618,721,675
