"","pid","gender","age","spotify_hours","msi","condition.x","attractiveness","diversity","gid","participant_id","phase_id","condition_id","algorithm","configuration","rating_id","pos","track_id","rating","score","danceability","energy","audio_key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","rank","rank_real","condition.y","condition","rating.jitter","attractiveness.jitter","gidp","duplicate.base","duplicate.genre","duplicate.gmm","duplicate","duplicate.n"
"1",46,"male","28","4-6",1.55555555555556,12,0.75,1,"46_12",46,3,12,"MAUT",7,0,5,"61mWefnWQOLf90gepjOCb3",1,0.565817657558698,0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,1,1,"base","base",1.00892127294792,0.738840347668156,"46_12_5",1,1,1,"base-genre-gmm",2
"2",46,"male","28","4-6",1.55555555555556,12,0.75,1,"46_12",46,3,12,"MAUT",7,0,6,"2MvIMgtWyK88OiPi0J8Dg3",1,0.53196484964987,0.576,0.989,2,-1.909,1,0.112,0.00252,0.0032,0.0243,0.352,135.093,2,2,"base","base",1.02126313847257,0.753655263397377,"46_12_6",1,1,0,"base-genre",1
"3",46,"male","28","4-6",1.55555555555556,12,0.75,1,"46_12",46,3,12,"MAUT",7,0,4,"4e9eGQYsOiBcftrWXwsVco",0.8,0.483142249073184,0.364,0.922,0,-4.217,0,0.0566,0.000918,0.035,0.0696,0.227,79.342,3,3,"base","base",0.791879417642485,0.766730104689486,"46_12_4",1,0,0,"none",0
"4",46,"male","28","4-6",1.55555555555556,12,0.75,1,"46_12",46,3,12,"MAUT",7,0,3,"1JP26wqamuPK9rdwF126rQ",0.7,0.363957160510779,0.62,0.643,7,-5.808,1,0.0348,0.00976,0.0231,0.15,0.108,124.974,4,20,"base","base",0.686757691658568,0.736922017217148,"46_12_3",1,0,0,"none",0
"5",46,"male","28","4-6",1.55555555555556,12,0.75,1,"46_12",46,3,12,"MAUT",7,0,7,"3LrBpLjDs4a1Vhh8q2P3F7",0.6,0.317588562405602,0.306,0.709,0,-3.593,1,0.0375,8.2e-05,0.00452,0.101,0.0436,154.146,5,60,"base","base",0.606159437261522,0.734083138487767,"46_12_7",1,0,0,"none",0
"6",46,"male","28","4-6",1.55555555555556,12,0.75,1,"46_12",46,3,12,"MAUT",7,0,8,"2OJ2zdFsH80EpPkSDb0P8y",0.8,0.270629548263078,0.414,0.511,7,-11.876,0,0.0384,0.088,0.91,0.285,0.0365,130.032,6,100,"base","base",0.790033616207074,0.730284095823299,"46_12_8",1,0,0,"none",0
"7",46,"male","28","4-6",1.55555555555556,12,0.75,1,"46_12",46,3,12,"MAUT",7,0,0,"5hkgrWxkobGtg30I7DsfVu",1,0.248303240422903,0.54,0.977,1,-3.409,1,0.0878,2.55e-05,0.0553,0.0533,0.211,106.911,7,150,"base","base",1.00299839199288,0.745136471872684,"46_12_0",1,0,0,"none",0
"8",46,"male","28","4-6",1.55555555555556,12,0.75,1,"46_12",46,3,12,"MAUT",7,0,9,"3S8MFB68isPbRVgaU0MaIW",0.7,0.23352945214884,0.44,0.993,2,-3.481,0,0.184,0.0104,0,0.964,0.614,169.77,8,200,"base","base",0.717158681061119,0.735625682189129,"46_12_9",1,0,0,"none",0
"9",46,"male","28","4-6",1.55555555555556,12,0.75,1,"46_12",46,3,12,"MAUT",7,0,1,"5UoIS8W3OFFQhloQ99cdB5",0.8,0.205595908279555,0.53,0.989,7,-3.847,1,0.0631,9.94e-05,0.000161,0.251,0.326,106.087,9,250,"base","base",0.817938065971248,0.767456354596652,"46_12_1",1,0,0,"none",0
"10",46,"male","28","4-6",1.55555555555556,12,0.75,1,"46_12",46,3,12,"MAUT",7,0,2,"1gFrm3uL7UAtmjaPspYedU",1,0.195633324179596,0.382,0.976,1,-2.598,1,0.0696,2.61e-05,0.0195,0.118,0.574,179.918,10,300,"base","base",1.00254420253914,0.768689085368533,"46_12_2",1,0,0,"none",0
