10	1	9	0.01
16	1	15	0.98
31	2	9	0.02
33	2	11	0.03
34	2	12	0.04
36	2	14	0.73
37	2	15	0.15
42	2	20	0.03
47	3	4	0.02
55	3	12	0.96
61	3	18	0.01
67	4	3	1.00
87	5	2	0.12
94	5	9	0.18
96	5	11	0.48
98	5	13	0.22
114	6	8	1.00
128	7	1	0.81
141	7	14	0.01
144	7	17	0.18
152	8	4	0.02
157	8	9	0.82
158	8	10	0.07
160	8	12	0.08
179	9	10	0.07
180	9	11	0.19
181	9	12	0.56
182	9	13	0.01
184	9	15	0.02
188	9	19	0.15
199	10	9	0.01
201	10	11	0.01
202	10	12	0.20
203	10	13	0.56
205	10	15	0.22
220	11	9	0.01
226	11	15	0.99
236	12	4	0.01
243	12	11	0.99
257	13	4	1.00
276	14	2	0.29
285	14	11	0.01
286	14	12	0.03
288	14	14	0.07
289	14	15	0.28
293	14	19	0.32
301	15	6	0.03
303	15	8	0.59
306	15	11	0.23
313	15	18	0.12
314	15	19	0.02
321	16	5	0.92
324	16	8	0.06
328	16	12	0.02
337	17	0	0.08
346	17	9	0.01
347	17	10	0.64
348	17	11	0.01
349	17	12	0.01
350	17	13	0.25
352	17	15	0.01
363	18	5	0.03
364	18	6	0.17
366	18	8	0.52
370	18	12	0.20
376	18	18	0.07
382	19	3	1.00
408	20	8	0.01
409	20	9	0.01
411	20	11	0.01
412	20	12	0.07
418	20	18	0.91
423	21	2	0.05
433	21	12	0.03
434	21	13	0.24
435	21	14	0.51
436	21	15	0.08
439	21	18	0.05
440	21	19	0.05
451	22	9	0.53
453	22	11	0.46
468	23	5	0.90
471	23	8	0.10
486	24	2	0.03
492	24	8	0.08
495	24	11	0.01
496	24	12	0.01
502	24	18	0.82
503	24	19	0.06
507	25	2	0.32
520	25	15	0.27
524	25	19	0.40
534	26	8	0.98
537	26	11	0.02
553	27	6	0.32
558	27	11	0.03
559	27	12	0.63
565	27	18	0.02
571	28	3	0.98
573	28	5	0.02
591	29	2	0.14
601	29	12	0.02
603	29	14	0.38
604	29	15	0.26
608	29	19	0.20
619	30	9	0.04
621	30	11	0.02
622	30	12	0.04
623	30	13	0.01
624	30	14	0.58
625	30	15	0.31
634	31	3	1.00
665	32	13	0.01
666	32	14	0.38
669	32	17	0.59
672	32	20	0.01
678	33	5	0.43
681	33	8	0.55
685	33	12	0.02
702	34	8	0.04
706	34	12	0.02
712	34	18	0.94
717	35	2	0.08
726	35	11	0.02
727	35	12	0.11
733	35	18	0.65
734	35	19	0.14
742	36	6	0.01
748	36	12	0.99
759	37	2	0.75
766	37	9	0.02
768	37	11	0.23
780	38	2	0.32
789	38	11	0.01
793	38	15	0.53
797	38	19	0.14
801	39	2	0.08
809	39	10	0.84
810	39	11	0.06
812	39	13	0.02
825	40	5	0.31
836	40	16	0.69
850	41	9	0.04
851	41	10	0.04
852	41	11	0.07
853	41	12	0.85
871	42	9	0.40
873	42	11	0.13
874	42	12	0.47
891	43	8	0.09
895	43	12	0.03
901	43	18	0.88
912	44	8	0.01
913	44	9	0.02
915	44	11	0.01
917	44	13	0.51
921	44	17	0.01
924	44	20	0.45
930	45	5	0.22
933	45	8	0.54
937	45	12	0.22
943	45	18	0.02
954	46	8	0.01
957	46	11	0.01
959	46	13	0.60
963	46	17	0.38
970	47	3	1.00
990	48	2	0.99
997	48	9	0.01
1013	49	4	0.01
1018	49	9	0.77
1028	49	19	0.23
1035	50	5	0.56
1036	50	6	0.07
1042	50	12	0.14
1048	50	18	0.23
1051	51	0	0.33
1058	51	7	0.34
1061	51	10	0.01
1065	51	14	0.07
1068	51	17	0.25
1076	52	4	0.02
1083	52	11	0.81
1092	52	20	0.17
1095	53	2	0.54
1103	53	10	0.15
1104	53	11	0.09
1106	53	13	0.21
1119	54	5	0.01
1122	54	8	0.06
1132	54	18	0.93
1143	55	8	0.06
1153	55	18	0.93
1158	56	2	0.11
1167	56	11	0.02
1168	56	12	0.01
1170	56	14	0.28
1171	56	15	0.14
1175	56	19	0.05
1176	56	20	0.39
1180	57	3	0.93
1194	57	17	0.07
1202	58	4	0.12
1207	58	9	0.88
1228	59	9	0.04
1229	59	10	0.81
1230	59	11	0.15
1253	60	13	0.04
1254	60	14	0.86
1255	60	15	0.01
1258	60	18	0.08
1272	61	11	0.01
1274	61	13	0.07
1278	61	17	0.69
1281	61	20	0.22
1292	62	10	0.68
1297	62	15	0.08
1302	62	20	0.23
1303	63	0	0.02
1310	63	7	0.63
1313	63	10	0.01
1317	63	14	0.32
1318	63	15	0.01
1323	63	20	0.01
1324	64	0	0.04
1333	64	9	0.02
1334	64	10	0.46
1335	64	11	0.07
1336	64	12	0.18
1337	64	13	0.17
1339	64	15	0.07
1354	65	9	0.12
1365	65	20	0.87
1368	66	2	0.09
1377	66	11	0.01
1378	66	12	0.01
1379	66	13	0.84
1381	66	15	0.02
1384	66	18	0.02
1385	66	19	0.01
1389	67	2	0.06
1396	67	9	0.01
1402	67	15	0.57
1406	67	19	0.07
1407	67	20	0.29
1423	68	15	0.97
1427	68	19	0.01
1428	68	20	0.01
1431	69	2	0.58
1438	69	9	0.09
1440	69	11	0.19
1442	69	13	0.14
1457	70	7	0.16
1463	70	13	0.03
1467	70	17	0.79
1480	71	9	0.02
1482	71	11	0.05
1484	71	13	0.83
1485	71	14	0.02
1488	71	17	0.02
1491	71	20	0.06
1494	72	2	0.07
1501	72	9	0.04
1503	72	11	0.27
1505	72	13	0.05
1512	72	20	0.58
1515	73	2	0.01
1516	73	3	0.93
1533	73	20	0.06
1536	74	2	0.97
1543	74	9	0.01
1544	74	10	0.01
1559	75	4	0.02
1575	75	20	0.98
1578	76	2	0.91
1591	76	15	0.01
1595	76	19	0.09
1599	77	2	0.02
1612	77	15	0.91
1616	77	19	0.02
1617	77	20	0.05
1620	78	2	0.01
1627	78	9	0.01
1629	78	11	0.03
1631	78	13	0.48
1632	78	14	0.15
1635	78	17	0.29
1638	78	20	0.02
1641	79	2	0.83
1648	79	9	0.05
1654	79	15	0.07
1658	79	19	0.05
1662	80	2	0.04
1668	80	8	0.02
1672	80	12	0.02
1678	80	18	0.87
1679	80	19	0.04
1683	81	2	0.31
1691	81	10	0.15
1692	81	11	0.01
1693	81	12	0.08
1696	81	15	0.05
1700	81	19	0.40
1704	82	2	0.09
1711	82	9	0.01
1714	82	12	0.03
1717	82	15	0.55
1721	82	19	0.32
1726	83	3	1.00
1756	84	12	0.01
1757	84	13	0.03
1758	84	14	0.93
1759	84	15	0.03
1775	85	10	0.62
1780	85	15	0.38
1788	86	2	0.12
1795	86	9	0.01
1796	86	10	0.55
1797	86	11	0.28
1799	86	13	0.05
1816	87	9	0.03
1818	87	11	0.05
1819	87	12	0.04
1820	87	13	0.03
1821	87	14	0.43
1822	87	15	0.43
1835	88	7	0.05
1838	88	10	0.60
1843	88	15	0.31
1847	88	19	0.02
1848	88	20	0.01
1851	89	2	0.07
1864	89	15	0.18
1868	89	19	0.13
1869	89	20	0.63
1872	90	2	1.00
1894	91	3	1.00
1914	92	2	0.04
1916	92	4	0.01
1922	92	10	0.02
1923	92	11	0.56
1925	92	13	0.37
1946	93	13	0.02
1947	93	14	0.89
1948	93	15	0.01
1951	93	18	0.07
1957	94	3	1.00
1979	95	4	0.01
1984	95	9	0.53
1986	95	11	0.27
1988	95	13	0.07
1995	95	20	0.13
1996	96	0	0.30
2003	96	7	0.50
2006	96	10	0.01
2010	96	14	0.17
2011	96	15	0.01
2026	97	9	0.02
2032	97	15	0.91
2037	97	20	0.07
2041	98	3	1.00
2071	99	12	0.01
2073	99	14	0.01
2074	99	15	0.67
2078	99	19	0.01
2079	99	20	0.29
2082	100	2	1.00
2104	101	3	1.00
2124	102	2	0.32
2137	102	15	0.08
2141	102	19	0.53
2142	102	20	0.06
2145	103	2	0.87
2158	103	15	0.04
2162	103	19	0.08
2166	104	2	0.01
2177	104	13	0.02
2178	104	14	0.96
2194	105	9	0.03
2195	105	10	0.48
2200	105	15	0.49
2217	106	11	0.02
2218	106	12	0.06
2219	106	13	0.69
2221	106	15	0.14
2224	106	18	0.09
2229	107	2	0.05
2237	107	10	0.47
2238	107	11	0.02
2239	107	12	0.04
2242	107	15	0.31
2246	107	19	0.11
2250	108	2	0.04
2257	108	9	0.01
2263	108	15	0.92
2267	108	19	0.04
2281	109	12	0.01
2283	109	14	0.89
2284	109	15	0.04
2289	109	20	0.07
2303	110	13	0.02
2304	110	14	0.87
2305	110	15	0.01
